Comunidades y Ciudades Autónomas,Grupos ECOICOP,Periodo,Total
16 País Vasco,Índice general,2024-01-01,115.388
16 País Vasco,Índice general,2023-01-01,111.962
16 País Vasco,Índice general,2022-01-01,108.049
16 País Vasco,Índice general,2021-01-01,100.0
16 País Vasco,Índice general,2020-01-01,97.002
16 País Vasco,Índice general,2019-01-01,97.136
16 País Vasco,Índice general,2018-01-01,96.215
16 País Vasco,Índice general,2017-01-01,94.7
16 País Vasco,Índice general,2016-01-01,92.858
16 País Vasco,Índice general,2015-01-01,92.845
16 País Vasco,Índice general,2014-01-01,93.093
16 País Vasco,Índice general,2013-01-01,92.943
16 País Vasco,Índice general,2012-01-01,91.502
16 País Vasco,Índice general,2011-01-01,89.434
16 País Vasco,Índice general,2010-01-01,86.749
16 País Vasco,Índice general,2009-01-01,85.306
16 País Vasco,Índice general,2008-01-01,85.077
16 País Vasco,Índice general,2007-01-01,81.723
16 País Vasco,Índice general,2006-01-01,79.46
16 País Vasco,Índice general,2005-01-01,76.844
16 País Vasco,Índice general,2004-01-01,74.393
16 País Vasco,Índice general,2003-01-01,72.204
16 País Vasco,Índice general,2002-01-01,70.221
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2024-01-01,105.703
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2023-01-01,101.921
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2022-01-01,115.801
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2021-01-01,100.0
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2020-01-01,89.821
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2019-01-01,92.869
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2018-01-01,94.25
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2017-01-01,91.91
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2016-01-01,88.648
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2015-01-01,92.472
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2014-01-01,94.037
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2013-01-01,92.222
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2012-01-01,91.255
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2011-01-01,86.35
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2010-01-01,80.093
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2009-01-01,77.702
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2008-01-01,76.27
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2007-01-01,71.71
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2006-01-01,69.226
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2005-01-01,65.155
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2004-01-01,62.068
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2003-01-01,59.545
16 País Vasco,"04 Vivienda, agua, electricidad, gas y otros combustibles",2002-01-01,57.862
