,Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual,Distrito
0,01/02/25,15.0,"0,00%",2.4%,8.8%,BILBAO
1,01/01/25,15.0,0.8%,5.7%,8.8%,BILBAO
2,01/12/24,14.9,1.6%,6.3%,9.2%,BILBAO
3,01/11/24,14.6,3.2%,5.5%,8.2%,BILBAO
4,01/10/24,14.2,1.4%,1.8%,6.5%,BILBAO
5,01/09/24,14.0,0.8%,-1.4%,5.9%,BILBAO
6,01/08/24,13.9,-0.4%,-2.4%,5.9%,BILBAO
7,01/07/24,13.9,-1.8%,0.2%,6.7%,BILBAO
8,01/06/24,14.2,-0.2%,2.6%,8.7%,BILBAO
9,01/05/24,14.2,2.3%,3.2%,8.8%,BILBAO
10,01/04/24,13.9,0.6%,"1,00%",5.2%,BILBAO
11,01/03/24,13.8,0.4%,1.6%,4.3%,BILBAO
12,01/02/24,13.8,"0,00%",1.9%,2.7%,BILBAO
13,01/01/24,13.8,1.1%,3.4%,3.4%,BILBAO
14,01/12/23,13.6,0.7%,3.1%,3.7%,BILBAO
15,01/11/23,13.5,1.6%,3.2%,4.6%,BILBAO
16,01/10/23,13.3,0.8%,"2,00%",4.7%,BILBAO
17,01/09/23,13.2,0.9%,1.2%,4.7%,BILBAO
18,01/08/23,13.1,0.3%,0.2%,4.6%,BILBAO
19,01/07/23,13.1,"0,00%",-1.2%,4.6%,BILBAO
20,01/06/23,13.1,-0.1%,-1.5%,4.3%,BILBAO
21,01/05/23,13.1,-1.1%,-2.6%,3.5%,BILBAO
22,01/04/23,13.2,-0.3%,-0.8%,"4,00%",BILBAO
23,01/03/23,13.3,-1.2%,0.9%,6.2%,BILBAO
24,01/02/23,13.4,0.7%,3.8%,7.5%,BILBAO
25,01/01/23,13.3,1.4%,4.8%,6.7%,BILBAO
26,01/12/22,13.1,1.6%,4.1%,5.2%,BILBAO
27,01/11/22,12.9,1.7%,3.2%,3.5%,BILBAO
28,01/10/22,12.7,0.8%,1.8%,1.8%,BILBAO
29,01/09/22,12.6,0.7%,0.8%,"3,00%",BILBAO
30,01/08/22,12.5,0.3%,-0.8%,3.3%,BILBAO
31,01/07/22,12.5,-0.3%,-1.8%,1.9%,BILBAO
32,01/06/22,12.5,-0.9%,0.3%,1.1%,BILBAO
33,01/05/22,12.6,-0.6%,1.2%,1.2%,BILBAO
34,01/04/22,12.7,1.8%,1.8%,"2,00%",BILBAO
35,01/03/22,12.5,"0,00%","0,00%",0.1%,BILBAO
36,01/02/22,12.5,"0,00%","0,00%",0.1%,BILBAO
37,01/01/22,12.5,"0,00%","0,00%",-1.4%,BILBAO
38,01/12/21,12.5,"0,00%",1.9%,-0.9%,BILBAO
39,01/11/21,12.5,n.d.,"3,00%",0.1%,BILBAO
40,01/10/21,12.5,1.9%,1.9%,0.1%,BILBAO
41,01/09/21,12.3,1.1%,"-1,00%",-0.2%,BILBAO
42,01/08/21,12.1,"-1,00%",-2.8%,-1.3%,BILBAO
43,01/07/21,12.3,-1.1%,-1.7%,-0.4%,BILBAO
44,01/06/21,12.4,-0.8%,-0.7%,-0.8%,BILBAO
45,01/05/21,12.5,0.1%,0.1%,-0.1%,BILBAO
46,01/04/21,12.5,"0,00%",-1.6%,-0.1%,BILBAO
47,01/03/21,12.5,"0,00%",-1.1%,-0.1%,BILBAO
48,01/02/21,12.5,-1.5%,"0,00%",-2.3%,BILBAO
49,01/01/21,12.7,0.5%,1.5%,0.3%,BILBAO
50,01/12/20,12.6,"1,00%",2.7%,"3,00%",BILBAO
51,01/11/20,12.5,"0,00%",1.5%,3.4%,BILBAO
52,01/10/20,12.5,1.6%,1.5%,4.1%,BILBAO
53,01/09/20,12.3,-0.1%,-1.7%,4.1%,BILBAO
54,01/08/20,12.3,"0,00%",-1.6%,5.5%,BILBAO
55,01/07/20,12.3,-1.5%,-1.5%,5.1%,BILBAO
56,01/06/20,12.5,"0,00%","0,00%","7,00%",BILBAO
57,01/05/20,12.5,"0,00%",-2.2%,7.2%,BILBAO
58,01/04/20,12.5,"0,00%",-1.1%,"8,00%",BILBAO
59,01/03/20,12.5,-2.2%,"2,00%",8.4%,BILBAO
60,01/02/20,12.8,1.1%,5.8%,9.6%,BILBAO
61,01/01/20,12.6,3.1%,5.3%,7.8%,BILBAO
62,01/12/19,12.3,1.4%,3.8%,2.2%,BILBAO
63,01/11/19,12.1,0.7%,3.6%,0.8%,BILBAO
64,01/10/19,12.0,1.7%,2.5%,1.6%,BILBAO
65,01/09/19,11.8,1.2%,"1,00%",1.3%,BILBAO
66,01/08/19,11.7,-0.4%,"0,00%","0,00%",BILBAO
67,01/07/19,11.7,0.2%,1.2%,0.7%,BILBAO
68,01/06/19,11.7,0.2%,1.4%,0.3%,BILBAO
69,01/05/19,11.7,0.7%,"0,00%",1.1%,BILBAO
70,01/04/19,11.6,0.4%,-1.3%,0.7%,BILBAO
71,01/03/19,11.5,-1.2%,-3.9%,0.9%,BILBAO
72,01/02/19,11.7,-0.5%,-2.7%,"3,00%",BILBAO
73,01/01/19,11.7,-2.2%,-0.7%,2.6%,BILBAO
74,01/12/18,12.0,0.1%,2.9%,"5,00%",BILBAO
75,01/11/18,12.0,1.5%,2.7%,4.9%,BILBAO
76,01/10/18,11.8,1.3%,1.6%,4.8%,BILBAO
77,01/09/18,11.7,-0.1%,0.1%,4.8%,BILBAO
78,01/08/18,11.7,0.3%,1.1%,"5,00%",BILBAO
79,01/07/18,11.6,-0.1%,1.2%,6.4%,BILBAO
80,01/06/18,11.6,0.9%,1.9%,6.8%,BILBAO
81,01/05/18,11.5,0.4%,1.9%,4.9%,BILBAO
82,01/04/18,11.5,0.6%,0.6%,4.1%,BILBAO
