Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,4.815 €/m2,2.1%,3.7%,"3,00%"
01/01/25,4.715 €/m2,n.d.,1.8%,1.3%
01/12/24,4.715 €/m2,1.5%,4.3%,1.6%
01/11/24,4.643 €/m2,0.3%,2.4%,0.7%
01/10/24,4.630 €/m2,2.5%,2.5%,0.4%
01/09/24,4.519 €/m2,-0.3%,0.1%,-0.8%
01/08/24,4.533 €/m2,0.4%,0.3%,"-1,00%"
01/07/24,4.517 €/m2,"0,00%",-1.6%,-1.4%
01/06/24,4.516 €/m2,-0.1%,-3.1%,-0.7%
01/05/24,4.519 €/m2,-1.5%,-3.3%,-1.4%
01/04/24,4.589 €/m2,-1.6%,-1.4%,0.4%
01/03/24,4.662 €/m2,-0.3%,0.5%,2.8%
01/02/24,4.675 €/m2,0.5%,1.4%,"6,00%"
01/01/24,4.654 €/m2,0.3%,0.9%,"5,00%"
01/12/23,4.640 €/m2,0.6%,1.9%,5.3%
01/11/23,4.611 €/m2,"0,00%",0.7%,3.4%
01/10/23,4.613 €/m2,1.3%,0.6%,3.5%
01/09/23,4.555 €/m2,-0.5%,0.2%,2.4%
01/08/23,4.580 €/m2,-0.1%,"0,00%","4,00%"
01/07/23,4.583 €/m2,0.8%,0.3%,4.2%
01/06/23,4.545 €/m2,-0.8%,0.2%,3.9%
01/05/23,4.581 €/m2,0.3%,3.8%,"6,00%"
01/04/23,4.570 €/m2,0.8%,3.1%,5.7%
01/03/23,4.535 €/m2,2.8%,"3,00%",4.5%
01/02/23,4.412 €/m2,-0.5%,-1.1%,2.3%
01/01/23,4.432 €/m2,0.6%,-0.6%,1.8%
01/12/22,4.404 €/m2,-1.2%,"-1,00%",1.7%
01/11/22,4.460 €/m2,0.1%,1.3%,2.4%
01/10/22,4.457 €/m2,0.2%,1.3%,2.7%
01/09/22,4.450 €/m2,1.1%,1.7%,1.5%
01/08/22,4.403 €/m2,0.1%,1.9%,1.3%
01/07/22,4.400 €/m2,0.6%,1.8%,n.d.
01/06/22,4.375 €/m2,1.2%,0.8%,-1.8%
01/05/22,4.322 €/m2,n.d.,0.2%,"-2,00%"
01/04/22,4.322 €/m2,-0.4%,-0.8%,-2.5%
01/03/22,4.338 €/m2,0.6%,0.2%,-2.1%
01/02/22,4.314 €/m2,-0.9%,"-1,00%",-4.4%
01/01/22,4.355 €/m2,0.6%,0.3%,-4.7%
01/12/21,4.329 €/m2,-0.6%,-1.2%,-6.7%
01/11/21,4.357 €/m2,0.4%,0.2%,-5.3%
01/10/21,4.341 €/m2,"-1,00%",-1.3%,-6.3%
01/09/21,4.383 €/m2,0.8%,-1.6%,-4.2%
01/08/21,4.348 €/m2,-1.2%,-1.4%,-4.9%
01/07/21,4.400 €/m2,-1.2%,-0.8%,-4.3%
01/06/21,4.453 €/m2,0.9%,0.4%,-4.4%
01/05/21,4.412 €/m2,-0.5%,-2.2%,"-2,00%"
01/04/21,4.434 €/m2,n.d.,"-3,00%",-0.5%
01/03/21,4.434 €/m2,-1.8%,-4.5%,1.4%
01/02/21,4.513 €/m2,-1.3%,-1.9%,3.9%
01/01/21,4.571 €/m2,-1.5%,-1.4%,5.5%
01/12/20,4.641 €/m2,0.8%,1.4%,"9,00%"
01/11/20,4.602 €/m2,-0.7%,0.6%,8.2%
01/10/20,4.635 €/m2,1.3%,0.8%,8.4%
01/09/20,4.575 €/m2,"0,00%",-1.8%,7.7%
01/08/20,4.573 €/m2,-0.5%,1.6%,6.7%
01/07/20,4.598 €/m2,-1.3%,3.2%,7.3%
01/06/20,4.657 €/m2,3.5%,6.5%,7.7%
01/05/20,4.500 €/m2,"1,00%",3.6%,3.6%
01/04/20,4.457 €/m2,1.9%,2.9%,2.1%
01/03/20,4.372 €/m2,0.7%,2.6%,-1.1%
01/02/20,4.342 €/m2,0.2%,2.1%,-1.3%
01/01/20,4.333 €/m2,1.7%,1.3%,-2.5%
01/12/19,4.259 €/m2,0.1%,0.2%,"-5,00%"
01/11/19,4.254 €/m2,-0.5%,-0.7%,-5.9%
01/10/19,4.276 €/m2,0.6%,-0.2%,"-5,00%"
01/09/19,4.250 €/m2,-0.8%,-1.7%,-5.6%
01/08/19,4.286 €/m2,0.1%,-1.4%,-3.1%
01/07/19,4.283 €/m2,"-1,00%",-1.9%,-1.4%
01/06/19,4.324 €/m2,-0.5%,-2.2%,-0.1%
01/05/19,4.345 €/m2,-0.5%,-1.2%,-0.5%
01/04/19,4.367 €/m2,-1.2%,-1.7%,0.9%
01/03/19,4.421 €/m2,0.5%,-1.4%,"3,00%"
01/02/19,4.400 €/m2,"-1,00%",-2.7%,2.9%
01/01/19,4.444 €/m2,-0.9%,-1.2%,4.6%
01/12/18,4.486 €/m2,-0.8%,-0.3%,7.7%
01/11/18,4.521 €/m2,0.5%,2.3%,10.3%
01/10/18,4.500 €/m2,n.d.,3.6%,"13,00%"
01/09/18,4.500 €/m2,1.8%,"4,00%",14.1%
01/08/18,4.421 €/m2,1.8%,1.2%,12.5%
01/07/18,4.344 €/m2,0.4%,0.4%,11.3%
01/06/18,4.327 €/m2,-0.9%,0.8%,"11,00%"
01/05/18,4.367 €/m2,0.9%,2.2%,"12,00%"
01/04/18,4.327 €/m2,0.8%,1.8%,11.6%
01/03/18,4.293 €/m2,0.4%,"3,00%",10.4%
01/02/18,4.274 €/m2,0.6%,4.3%,9.7%
01/01/18,4.250 €/m2,"2,00%",6.7%,10.5%
01/12/17,4.167 €/m2,1.7%,5.6%,8.2%
01/11/17,4.098 €/m2,2.9%,4.3%,5.3%
01/10/17,3.982 €/m2,0.9%,"2,00%",2.5%
01/09/17,3.944 €/m2,0.4%,1.2%,"3,00%"
01/08/17,3.929 €/m2,0.7%,0.8%,1.7%
01/07/17,3.902 €/m2,0.1%,0.6%,2.2%
01/06/17,3.899 €/m2,"0,00%",0.3%,2.1%
01/05/17,3.899 €/m2,0.5%,0.1%,2.1%
01/04/17,3.878 €/m2,-0.3%,0.8%,1.9%
01/03/17,3.889 €/m2,-0.2%,"1,00%",2.7%
01/02/17,3.895 €/m2,1.3%,0.1%,4.3%
01/01/17,3.846 €/m2,-0.1%,"-1,00%",3.3%
01/12/16,3.851 €/m2,-1.1%,0.5%,2.4%
01/11/16,3.892 €/m2,0.2%,0.7%,2.7%
01/10/16,3.886 €/m2,1.5%,1.8%,2.5%
01/09/16,3.831 €/m2,-0.9%,0.3%,2.3%
01/08/16,3.864 €/m2,1.2%,1.2%,3.9%
01/07/16,3.818 €/m2,"0,00%",0.3%,0.9%
01/06/16,3.818 €/m2,"0,00%",0.9%,1.1%
01/05/16,3.818 €/m2,0.3%,2.2%,0.6%
01/04/16,3.805 €/m2,0.5%,2.2%,0.3%
01/03/16,3.786 €/m2,1.4%,0.6%,-0.8%
01/02/16,3.735 €/m2,0.3%,-1.5%,-1.9%
01/01/16,3.723 €/m2,-1.1%,-1.8%,-3.8%
01/12/15,3.762 €/m2,-0.7%,0.4%,-1.9%
01/11/15,3.791 €/m2,"0,00%",1.9%,-1.1%
01/10/15,3.792 €/m2,1.2%,0.2%,-1.3%
01/09/15,3.746 €/m2,0.7%,-0.8%,-2.3%
01/08/15,3.720 €/m2,-1.7%,"-2,00%",-1.8%
01/07/15,3.784 €/m2,0.2%,-0.3%,"-1,00%"
01/06/15,3.777 €/m2,-0.5%,-1.1%,-0.8%
01/05/15,3.795 €/m2,n.d.,-0.3%,-1.7%
01/04/15,3.795 €/m2,-0.6%,-1.9%,-1.6%
01/03/15,3.818 €/m2,0.3%,-0.5%,-0.4%
01/02/15,3.808 €/m2,-1.6%,-0.7%,-0.5%
01/01/15,3.869 €/m2,0.8%,0.7%,0.8%
01/12/14,3.837 €/m2,0.1%,0.1%,"-2,00%"
01/11/14,3.833 €/m2,-0.2%,1.2%,"-3,00%"
01/10/14,3.841 €/m2,0.2%,0.5%,-2.9%
01/09/14,3.835 €/m2,1.2%,0.7%,-3.9%
01/08/14,3.789 €/m2,-0.8%,-1.9%,-4.3%
01/07/14,3.821 €/m2,0.3%,-0.9%,-3.9%
01/06/14,3.808 €/m2,-1.4%,-0.7%,-4.9%
01/05/14,3.862 €/m2,0.1%,0.9%,-3.4%
01/04/14,3.857 €/m2,0.6%,0.5%,"-6,00%"
01/03/14,3.834 €/m2,0.1%,-2.1%,-7.4%
01/02/14,3.828 €/m2,-0.2%,-3.1%,-7.8%
01/01/14,3.837 €/m2,"-2,00%","-3,00%","-8,00%"
01/12/13,3.914 €/m2,-0.9%,-1.9%,-6.9%
01/11/13,3.950 €/m2,-0.1%,-0.2%,-5.2%
01/10/13,3.955 €/m2,-0.9%,-0.5%,"-5,00%"
01/09/13,3.991 €/m2,0.8%,-0.3%,-5.3%
01/08/13,3.959 €/m2,-0.4%,"-1,00%",-7.3%
01/07/13,3.976 €/m2,-0.7%,-3.1%,-8.5%
01/06/13,4.004 €/m2,0.2%,-3.2%,-7.9%
01/05/13,3.998 €/m2,-2.6%,-3.8%,-9.6%
01/04/13,4.105 €/m2,-0.8%,-1.6%,-7.6%
01/03/13,4.138 €/m2,-0.4%,-1.5%,-6.9%
01/02/13,4.154 €/m2,-0.4%,-0.3%,-6.5%
01/01/13,4.171 €/m2,-0.7%,0.2%,-5.8%
01/12/12,4.202 €/m2,0.9%,-0.3%,"-6,00%"
01/11/12,4.167 €/m2,0.1%,-2.5%,-8.5%
01/10/12,4.162 €/m2,-1.3%,-4.2%,-7.5%
01/09/12,4.215 €/m2,-1.4%,-3.1%,-7.5%
01/08/12,4.273 €/m2,-1.6%,-3.4%,-4.6%
01/07/12,4.344 €/m2,-0.1%,-2.3%,-4.3%
01/06/12,4.350 €/m2,-1.7%,-2.1%,-4.5%
01/05/12,4.423 €/m2,-0.5%,-0.5%,-1.4%
01/04/12,4.444 €/m2,n.d.,0.3%,0.5%
01/03/12,4.444 €/m2,n.d.,-0.6%,2.6%
01/02/12,4.444 €/m2,0.3%,-2.4%,1.4%
01/01/12,4.429 €/m2,-0.9%,-1.6%,2.7%
01/12/11,4.470 €/m2,-1.8%,-1.9%,2.2%
01/11/11,4.553 €/m2,1.2%,1.7%,5.1%
01/10/11,4.500 €/m2,-1.2%,-0.8%,3.1%
01/09/11,4.556 €/m2,1.8%,n.d.,4.4%
01/08/11,4.477 €/m2,-1.4%,-0.2%,3.2%
01/07/11,4.538 €/m2,-0.4%,2.6%,7.2%
01/06/11,4.556 €/m2,1.6%,5.2%,8.3%
01/05/11,4.485 €/m2,1.4%,2.3%,8.7%
01/04/11,4.423 €/m2,2.1%,2.6%,2.6%
01/03/11,4.331 €/m2,-1.2%,"-1,00%",0.4%
01/02/11,4.385 €/m2,1.7%,1.2%,n.d.
01/01/11,4.313 €/m2,-1.4%,-1.2%,n.d.
01/12/10,4.375 €/m2,"1,00%",0.2%,n.d.
01/11/10,4.331 €/m2,-0.8%,-0.1%,n.d.
01/10/10,4.364 €/m2,n.d.,3.1%,n.d.
01/09/10,4.364 €/m2,0.6%,3.7%,n.d.
01/08/10,4.337 €/m2,2.4%,5.1%,n.d.
01/07/10,4.234 €/m2,0.6%,-1.8%,n.d.
01/06/10,4.207 €/m2,"2,00%",-2.4%,n.d.
01/05/10,4.126 €/m2,-4.3%,n.d.,n.d.
01/04/10,4.313 €/m2,n.d.,n.d.,n.d.
01/03/10,4.313 €/m2,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
