Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,3.232 €/m2,0.4%,-2.6%,8.3%
01/01/25,3.220 €/m2,-4.1%,-2.2%,9.9%
01/12/24,3.357 €/m2,1.2%,"1,00%",12.5%
01/11/24,3.317 €/m2,0.7%,-2.4%,11.6%
01/10/24,3.294 €/m2,-0.9%,"-3,00%",13.6%
01/09/24,3.324 €/m2,-2.2%,1.4%,9.1%
01/08/24,3.398 €/m2,"0,00%",7.6%,9.7%
01/07/24,3.397 €/m2,3.7%,10.2%,"10,00%"
01/06/24,3.277 €/m2,3.8%,9.5%,8.8%
01/05/24,3.157 €/m2,2.4%,5.8%,7.7%
01/04/24,3.083 €/m2,"3,00%",5.2%,0.2%
01/03/24,2.994 €/m2,0.3%,0.4%,-2.8%
01/02/24,2.985 €/m2,1.9%,0.4%,0.8%
01/01/24,2.931 €/m2,-1.8%,1.1%,-0.9%
01/12/23,2.983 €/m2,0.4%,-2.1%,-0.6%
01/11/23,2.973 €/m2,2.6%,"-4,00%",-5.3%
01/10/23,2.899 €/m2,-4.9%,-6.2%,-6.4%
01/09/23,3.048 €/m2,-1.6%,1.1%,1.8%
01/08/23,3.097 €/m2,0.2%,5.6%,2.3%
01/07/23,3.089 €/m2,2.5%,0.4%,0.6%
01/06/23,3.013 €/m2,2.8%,-2.2%,-3.1%
01/05/23,2.932 €/m2,-4.7%,"-1,00%",-4.3%
01/04/23,3.076 €/m2,-0.1%,"4,00%","4,00%"
01/03/23,3.080 €/m2,"4,00%",2.7%,5.5%
01/02/23,2.960 €/m2,0.1%,-5.7%,0.5%
01/01/23,2.957 €/m2,-1.4%,-4.5%,-1.1%
01/12/22,3.000 €/m2,-4.4%,0.3%,1.4%
01/11/22,3.138 €/m2,1.3%,3.6%,6.3%
01/10/22,3.096 €/m2,3.5%,0.9%,11.6%
01/09/22,2.992 €/m2,-1.2%,-3.8%,11.5%
01/08/22,3.028 €/m2,-1.4%,-1.1%,12.8%
01/07/22,3.070 €/m2,-1.3%,3.8%,15.4%
01/06/22,3.109 €/m2,1.5%,6.5%,19.4%
01/05/22,3.062 €/m2,3.6%,"4,00%","15,00%"
01/04/22,2.957 €/m2,1.3%,-1.2%,10.3%
01/03/22,2.920 €/m2,-0.8%,-1.3%,9.1%
01/02/22,2.945 €/m2,-1.6%,-0.3%,7.3%
01/01/22,2.991 €/m2,1.1%,7.9%,8.1%
01/12/21,2.959 €/m2,0.2%,10.2%,7.1%
01/11/21,2.953 €/m2,6.5%,"10,00%",10.5%
01/10/21,2.773 €/m2,3.3%,4.2%,4.3%
01/09/21,2.684 €/m2,"0,00%",3.1%,-1.9%
01/08/21,2.685 €/m2,0.9%,0.8%,-5.9%
01/07/21,2.661 €/m2,2.2%,-0.7%,-4.6%
01/06/21,2.603 €/m2,-2.3%,-2.7%,-3.7%
01/05/21,2.664 €/m2,-0.6%,-2.9%,-0.9%
01/04/21,2.681 €/m2,0.2%,-3.1%,0.7%
01/03/21,2.676 €/m2,-2.5%,-3.1%,2.9%
01/02/21,2.744 €/m2,-0.8%,2.7%,9.8%
01/01/21,2.767 €/m2,0.2%,4.1%,8.9%
