Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,3.524 €/m2,1.1%,3.2%,7.6%
01/01/25,3.485 €/m2,-0.2%,3.1%,6.8%
01/12/24,3.491 €/m2,2.2%,3.1%,7.7%
01/11/24,3.417 €/m2,1.1%,"1,00%",6.2%
01/10/24,3.381 €/m2,-0.1%,0.9%,5.9%
01/09/24,3.384 €/m2,"0,00%",2.5%,6.1%
01/08/24,3.383 €/m2,"1,00%",2.7%,6.9%
01/07/24,3.350 €/m2,1.5%,1.9%,6.3%
01/06/24,3.301 €/m2,0.2%,0.3%,4.1%
01/05/24,3.293 €/m2,0.1%,0.5%,2.8%
01/04/24,3.290 €/m2,-0.1%,0.8%,3.4%
01/03/24,3.292 €/m2,0.5%,1.6%,3.7%
01/02/24,3.277 €/m2,0.4%,1.9%,3.1%
01/01/24,3.264 €/m2,0.7%,2.2%,2.4%
01/12/23,3.241 €/m2,0.7%,1.6%,2.3%
01/11/23,3.217 €/m2,0.8%,1.7%,2.1%
01/10/23,3.193 €/m2,0.1%,1.3%,1.7%
01/09/23,3.191 €/m2,0.8%,0.6%,3.3%
01/08/23,3.164 €/m2,0.4%,-1.3%,2.9%
01/07/23,3.153 €/m2,-0.6%,-0.9%,2.7%
01/06/23,3.171 €/m2,-1.1%,-0.1%,3.7%
01/05/23,3.204 €/m2,0.7%,0.8%,4.5%
01/04/23,3.183 €/m2,0.3%,-0.1%,3.6%
01/03/23,3.174 €/m2,-0.2%,0.2%,2.7%
01/02/23,3.179 €/m2,-0.3%,0.9%,3.1%
01/01/23,3.187 €/m2,0.7%,1.5%,3.8%
01/12/22,3.166 €/m2,0.5%,2.5%,4.5%
01/11/22,3.151 €/m2,0.4%,2.5%,4.7%
01/10/22,3.139 €/m2,1.6%,2.3%,"5,00%"
01/09/22,3.090 €/m2,0.5%,1.1%,3.6%
01/08/22,3.076 €/m2,0.2%,0.3%,"4,00%"
01/07/22,3.069 €/m2,0.4%,-0.1%,2.6%
01/06/22,3.057 €/m2,-0.3%,-1.1%,2.8%
01/05/22,3.065 €/m2,-0.2%,-0.6%,"3,00%"
01/04/22,3.071 €/m2,-0.6%,"0,00%",2.9%
01/03/22,3.090 €/m2,0.2%,"2,00%",2.8%
01/02/22,3.084 €/m2,0.4%,2.5%,"2,00%"
01/01/22,3.072 €/m2,1.4%,2.7%,1.7%
01/12/21,3.031 €/m2,0.7%,1.6%,0.5%
01/11/21,3.010 €/m2,0.7%,1.8%,-0.3%
01/10/21,2.990 €/m2,0.3%,"0,00%",-1.4%
01/09/21,2.982 €/m2,0.8%,0.2%,-1.1%
01/08/21,2.957 €/m2,-1.1%,-0.7%,-1.1%
01/07/21,2.990 €/m2,0.5%,0.2%,"0,00%"
01/06/21,2.974 €/m2,-0.1%,-1.1%,-1.2%
01/05/21,2.977 €/m2,-0.2%,-1.5%,-0.1%
01/04/21,2.984 €/m2,-0.8%,-1.2%,"1,00%"
01/03/21,3.007 €/m2,-0.5%,-0.3%,3.1%
01/02/21,3.023 €/m2,0.1%,0.2%,5.2%
01/01/21,3.019 €/m2,0.1%,-0.4%,5.2%
01/12/20,3.015 €/m2,-0.1%,"0,00%","4,00%"
01/11/20,3.017 €/m2,-0.5%,0.9%,4.1%
01/10/20,3.033 €/m2,0.6%,1.4%,"4,00%"
01/09/20,3.014 €/m2,0.8%,0.1%,"5,00%"
01/08/20,2.990 €/m2,"0,00%",0.4%,4.5%
01/07/20,2.991 €/m2,-0.6%,1.2%,3.9%
01/06/20,3.010 €/m2,"1,00%",3.2%,4.1%
01/05/20,2.979 €/m2,0.8%,3.7%,2.6%
01/04/20,2.955 €/m2,1.3%,"3,00%",2.5%
01/03/20,2.918 €/m2,1.6%,0.6%,1.6%
01/02/20,2.873 €/m2,0.1%,-0.9%,"0,00%"
01/01/20,2.870 €/m2,"-1,00%",-1.6%,0.1%
01/12/19,2.899 €/m2,"0,00%","1,00%",1.6%
01/11/19,2.899 €/m2,-0.6%,1.4%,1.3%
01/10/19,2.916 €/m2,1.5%,1.2%,1.9%
01/09/19,2.872 €/m2,0.4%,-0.7%,0.7%
01/08/19,2.860 €/m2,-0.7%,-1.5%,0.5%
01/07/19,2.880 €/m2,-0.4%,-0.1%,1.7%
01/06/19,2.893 €/m2,-0.3%,0.7%,"3,00%"
01/05/19,2.903 €/m2,0.7%,"1,00%",3.4%
01/04/19,2.882 €/m2,0.4%,0.5%,2.6%
01/03/19,2.872 €/m2,"0,00%",0.7%,1.7%
01/02/19,2.873 €/m2,0.2%,0.4%,2.2%
01/01/19,2.867 €/m2,0.5%,0.2%,2.1%
01/12/18,2.852 €/m2,-0.3%,"0,00%",2.1%
01/11/18,2.861 €/m2,"0,00%",0.5%,3.3%
01/10/18,2.862 €/m2,0.3%,1.1%,3.4%
01/09/18,2.852 €/m2,0.2%,1.6%,2.5%
01/08/18,2.846 €/m2,0.5%,1.4%,3.1%
01/07/18,2.832 €/m2,0.9%,0.8%,2.8%
01/06/18,2.807 €/m2,"0,00%",-0.6%,"2,00%"
01/05/18,2.807 €/m2,-0.1%,-0.1%,2.6%
01/04/18,2.810 €/m2,-0.5%,0.1%,2.4%
01/03/18,2.825 €/m2,0.5%,1.2%,3.1%
01/02/18,2.811 €/m2,0.1%,1.5%,"2,00%"
01/01/18,2.807 €/m2,0.5%,1.4%,2.4%
01/12/17,2.793 €/m2,0.8%,0.3%,2.2%
01/11/17,2.770 €/m2,0.1%,0.3%,1.1%
01/10/17,2.767 €/m2,-0.6%,0.5%,1.3%
01/09/17,2.784 €/m2,0.8%,1.2%,2.4%
01/08/17,2.761 €/m2,0.2%,0.9%,0.7%
01/07/17,2.754 €/m2,0.1%,0.4%,"0,00%"
01/06/17,2.752 €/m2,0.5%,0.4%,-0.9%
01/05/17,2.738 €/m2,-0.3%,-0.6%,-1.8%
01/04/17,2.745 €/m2,0.1%,0.1%,-1.8%
01/03/17,2.741 €/m2,-0.5%,0.3%,-1.5%
01/02/17,2.756 €/m2,0.5%,0.6%,-0.4%
01/01/17,2.741 €/m2,0.3%,0.3%,-1.2%
01/12/16,2.732 €/m2,-0.2%,0.5%,-2.1%
01/11/16,2.739 €/m2,0.3%,-0.1%,-1.3%
01/10/16,2.732 €/m2,0.4%,-0.9%,-1.5%
01/09/16,2.720 €/m2,-0.8%,"-2,00%",-2.1%
01/08/16,2.741 €/m2,-0.5%,-1.7%,-0.8%
01/07/16,2.755 €/m2,-0.7%,-1.5%,-1.1%
01/06/16,2.776 €/m2,-0.4%,-0.2%,-0.6%
01/05/16,2.788 €/m2,-0.3%,0.7%,"0,00%"
01/04/16,2.796 €/m2,0.5%,0.8%,0.1%
01/03/16,2.782 €/m2,0.5%,-0.3%,-1.1%
01/02/16,2.768 €/m2,-0.3%,-0.3%,-1.9%
01/01/16,2.776 €/m2,-0.6%,0.1%,-1.7%
01/12/15,2.791 €/m2,0.6%,0.4%,-1.5%
01/11/15,2.776 €/m2,0.1%,0.5%,-2.5%
01/10/15,2.773 €/m2,-0.2%,-0.5%,-2.7%
01/09/15,2.779 €/m2,0.6%,-0.5%,-2.7%
01/08/15,2.763 €/m2,-0.9%,-0.9%,-2.6%
01/07/15,2.788 €/m2,-0.2%,-0.2%,-2.7%
01/06/15,2.793 €/m2,0.2%,-0.8%,-3.3%
01/05/15,2.788 €/m2,-0.2%,-1.2%,-3.9%
01/04/15,2.792 €/m2,-0.8%,-1.1%,-4.1%
01/03/15,2.814 €/m2,-0.2%,-0.7%,-3.8%
01/02/15,2.821 €/m2,-0.1%,-0.9%,-3.9%
01/01/15,2.825 €/m2,-0.4%,-0.9%,-4.6%
01/12/14,2.835 €/m2,-0.4%,-0.7%,-5.2%
01/11/14,2.846 €/m2,-0.2%,0.4%,-4.8%
01/10/14,2.851 €/m2,-0.1%,-0.5%,-4.7%
01/09/14,2.854 €/m2,0.6%,-1.2%,-4.6%
01/08/14,2.836 €/m2,"-1,00%",-2.2%,-5.5%
01/07/14,2.864 €/m2,-0.8%,-1.7%,-5.5%
01/06/14,2.888 €/m2,-0.4%,-1.3%,-5.5%
01/05/14,2.900 €/m2,-0.4%,-1.2%,-5.2%
01/04/14,2.913 €/m2,-0.4%,-1.7%,-5.3%
01/03/14,2.926 €/m2,-0.3%,-2.2%,-5.4%
01/02/14,2.935 €/m2,-0.9%,-1.9%,-5.6%
01/01/14,2.962 €/m2,"-1,00%","-1,00%","-6,00%"
01/12/13,2.991 €/m2,"0,00%","0,00%",-5.5%
01/11/13,2.991 €/m2,"0,00%",-0.3%,-6.7%
01/10/13,2.991 €/m2,"0,00%",-1.3%,-6.9%
01/09/13,2.992 €/m2,-0.3%,-2.1%,-7.5%
01/08/13,3.000 €/m2,"-1,00%","-2,00%",-7.8%
01/07/13,3.029 €/m2,-0.8%,-1.5%,-7.7%
01/06/13,3.055 €/m2,-0.2%,-1.2%,-8.1%
01/05/13,3.060 €/m2,-0.5%,-1.6%,-8.7%
01/04/13,3.075 €/m2,-0.6%,-2.4%,-9.3%
01/03/13,3.092 €/m2,-0.5%,-2.4%,-9.2%
01/02/13,3.109 €/m2,-1.4%,-3.1%,-8.5%
01/01/13,3.152 €/m2,-0.5%,"-2,00%",-7.8%
01/12/12,3.166 €/m2,-1.3%,-2.1%,-8.1%
01/11/12,3.207 €/m2,-0.2%,-1.4%,-8.1%
01/10/12,3.215 €/m2,-0.6%,-2.1%,"-8,00%"
01/09/12,3.236 €/m2,-0.6%,-2.7%,-7.3%
01/08/12,3.254 €/m2,-0.9%,-2.9%,-6.5%
01/07/12,3.283 €/m2,-1.3%,-3.2%,-6.7%
01/06/12,3.325 €/m2,-0.8%,-2.3%,-6.7%
01/05/12,3.352 €/m2,-1.2%,-1.4%,-6.7%
01/04/12,3.392 €/m2,-0.4%,-0.7%,-5.5%
01/03/12,3.404 €/m2,0.2%,-1.2%,-5.2%
01/02/12,3.398 €/m2,-0.6%,-2.6%,-5.4%
01/01/12,3.417 €/m2,-0.8%,-2.2%,"-4,00%"
01/12/11,3.444 €/m2,-1.3%,-1.3%,-3.1%
01/11/11,3.490 €/m2,-0.1%,0.2%,-2.1%
01/10/11,3.495 €/m2,0.1%,-0.7%,-1.5%
01/09/11,3.490 €/m2,0.2%,-2.1%,-1.7%
01/08/11,3.481 €/m2,-1.1%,"-3,00%",-2.6%
01/07/11,3.519 €/m2,-1.3%,"-2,00%",-1.5%
