Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,3.177 €/m2,4.7%,6.7%,7.8%
01/01/25,3.035 €/m2,-1.5%,0.4%,5.6%
01/12/24,3.083 €/m2,3.5%,1.6%,7.6%
01/11/24,2.979 €/m2,-1.5%,-1.9%,3.6%
01/10/24,3.024 €/m2,-0.4%,4.3%,6.7%
01/09/24,3.035 €/m2,n.d.,4.7%,6.6%
01/08/24,3.035 €/m2,4.7%,4.7%,6.6%
01/07/24,2.900 €/m2,n.d.,-0.7%,0.9%
01/06/24,2.900 €/m2,n.d.,-1.3%,0.9%
01/05/24,2.900 €/m2,-0.7%,-1.6%,1.1%
01/04/24,2.921 €/m2,-0.6%,1.6%,"3,00%"
01/03/24,2.937 €/m2,-0.4%,2.5%,"4,00%"
01/02/24,2.947 €/m2,2.5%,2.5%,6.9%
01/01/24,2.875 €/m2,0.4%,1.4%,-1.4%
01/12/23,2.865 €/m2,-0.4%,0.7%,2.7%
01/11/23,2.875 €/m2,1.4%,"1,00%",4.7%
01/10/23,2.835 €/m2,-0.4%,-1.3%,3.2%
01/09/23,2.846 €/m2,n.d.,"-1,00%",5.1%
01/08/23,2.846 €/m2,"-1,00%",-0.8%,4.9%
01/07/23,2.873 €/m2,"0,00%",1.4%,5.9%
01/06/23,2.874 €/m2,0.2%,1.8%,5.9%
01/05/23,2.868 €/m2,1.2%,"4,00%",6.1%
01/04/23,2.835 €/m2,0.4%,-2.7%,4.8%
01/03/23,2.824 €/m2,2.4%,1.3%,2.3%
01/02/23,2.758 €/m2,-5.4%,0.4%,-1.5%
01/01/23,2.915 €/m2,4.5%,6.1%,"3,00%"
01/12/22,2.788 €/m2,1.5%,2.9%,-1.3%
01/11/22,2.747 €/m2,n.d.,1.3%,-3.7%
01/10/22,2.747 €/m2,1.4%,1.3%,"-4,00%"
01/09/22,2.709 €/m2,-0.1%,-0.1%,-5.2%
01/08/22,2.713 €/m2,n.d.,0.3%,-5.2%
01/07/22,2.713 €/m2,n.d.,0.3%,-7.9%
01/06/22,2.713 €/m2,0.3%,-1.7%,"-9,00%"
01/05/22,2.704 €/m2,n.d.,-3.4%,-8.3%
01/04/22,2.704 €/m2,"-2,00%",-4.4%,-7.3%
01/03/22,2.759 €/m2,-1.5%,-2.4%,-3.6%
01/02/22,2.800 €/m2,"-1,00%",-1.9%,-2.1%
01/01/22,2.829 €/m2,0.1%,-1.2%,0.2%
01/12/21,2.826 €/m2,"-1,00%",-1.1%,-1.7%
01/11/21,2.854 €/m2,-0.3%,-0.2%,-0.7%
01/10/21,2.862 €/m2,0.2%,-2.8%,"2,00%"
01/09/21,2.857 €/m2,-0.1%,-4.1%,2.3%
01/08/21,2.861 €/m2,-2.8%,"-3,00%",2.5%
01/07/21,2.944 €/m2,-1.2%,"1,00%",5.4%
01/06/21,2.980 €/m2,"1,00%",4.1%,6.7%
01/05/21,2.950 €/m2,1.1%,3.1%,5.6%
01/04/21,2.917 €/m2,1.9%,3.3%,4.3%
01/03/21,2.861 €/m2,n.d.,-0.5%,2.4%
01/02/21,2.861 €/m2,1.3%,-0.5%,2.5%
01/01/21,2.824 €/m2,-1.8%,0.6%,1.1%
01/12/20,2.875 €/m2,n.d.,"3,00%",1.9%
01/11/20,2.875 €/m2,2.5%,"3,00%",0.5%
01/10/20,2.806 €/m2,0.5%,0.5%,-2.9%
01/09/20,2.792 €/m2,n.d.,n.d.,-0.3%
01/08/20,2.792 €/m2,n.d.,-0.1%,-3.6%
01/07/20,2.792 €/m2,n.d.,-0.2%,-5.6%
01/06/20,2.792 €/m2,-0.1%,-0.1%,-6.1%
01/05/20,2.794 €/m2,-0.1%,0.1%,"-6,00%"
01/04/20,2.797 €/m2,0.1%,0.1%,-5.3%
01/03/20,2.794 €/m2,0.1%,"-1,00%",-4.4%
01/02/20,2.792 €/m2,-0.1%,-2.4%,-4.3%
01/01/20,2.794 €/m2,"-1,00%",-3.3%,-4.3%
01/12/19,2.823 €/m2,-1.3%,0.8%,-3.3%
01/11/19,2.860 €/m2,"-1,00%",-1.2%,"-3,00%"
01/10/19,2.889 €/m2,3.2%,-2.3%,-1.4%
01/09/19,2.800 €/m2,-3.3%,-5.8%,-4.1%
01/08/19,2.896 €/m2,-2.1%,-2.5%,-1.4%
01/07/19,2.958 €/m2,-0.5%,0.1%,2.7%
01/06/19,2.972 €/m2,"0,00%",1.7%,"4,00%"
01/05/19,2.971 €/m2,0.6%,1.8%,4.4%
01/04/19,2.954 €/m2,"1,00%",1.2%,2.5%
01/03/19,2.924 €/m2,0.2%,0.1%,2.3%
01/02/19,2.919 €/m2,"0,00%","-1,00%",4.1%
01/01/19,2.919 €/m2,"0,00%",-0.4%,5.6%
01/12/18,2.919 €/m2,"-1,00%","0,00%",6.4%
01/11/18,2.950 €/m2,0.7%,0.4%,7.3%
01/10/18,2.930 €/m2,0.4%,1.7%,6.2%
01/09/18,2.920 €/m2,-0.6%,2.1%,5.9%
01/08/18,2.938 €/m2,"2,00%",3.2%,6.6%
01/07/18,2.881 €/m2,0.8%,"0,00%",4.9%
01/06/18,2.858 €/m2,0.4%,"0,00%",3.6%
01/05/18,2.847 €/m2,-1.2%,1.5%,3.5%
01/04/18,2.881 €/m2,0.8%,4.2%,2.6%
01/03/18,2.858 €/m2,1.9%,4.2%,3.2%
01/02/18,2.804 €/m2,1.4%,"2,00%",1.3%
01/01/18,2.764 €/m2,0.8%,0.2%,"2,00%"
01/12/17,2.743 €/m2,-0.2%,-0.5%,1.9%
01/11/17,2.750 €/m2,-0.3%,-0.2%,3.1%
01/10/17,2.759 €/m2,0.1%,0.4%,3.6%
01/09/17,2.756 €/m2,"0,00%",-0.1%,3.2%
01/08/17,2.757 €/m2,0.4%,0.2%,2.6%
01/07/17,2.747 €/m2,-0.4%,-2.2%,1.8%
01/06/17,2.759 €/m2,0.3%,-0.4%,"0,00%"
01/05/17,2.751 €/m2,-2.1%,-0.6%,-0.3%
01/04/17,2.809 €/m2,1.4%,3.6%,2.2%
01/03/17,2.770 €/m2,0.1%,2.9%,0.4%
01/02/17,2.767 €/m2,2.1%,3.7%,0.7%
01/01/17,2.711 €/m2,0.7%,1.8%,"-1,00%"
01/12/16,2.692 €/m2,0.9%,0.8%,"-2,00%"
01/11/16,2.667 €/m2,0.2%,-0.8%,-1.2%
01/10/16,2.662 €/m2,-0.3%,-1.3%,-1.7%
01/09/16,2.670 €/m2,-0.6%,-3.2%,-1.1%
01/08/16,2.687 €/m2,-0.4%,-2.6%,3.1%
01/07/16,2.698 €/m2,-2.2%,-1.8%,3.8%
01/06/16,2.757 €/m2,-0.1%,-0.1%,7.2%
01/05/16,2.759 €/m2,0.4%,0.4%,5.2%
01/04/16,2.747 €/m2,-0.4%,0.3%,3.2%
01/03/16,2.759 €/m2,0.4%,0.5%,"4,00%"
01/02/16,2.747 €/m2,0.3%,1.8%,2.8%
01/01/16,2.739 €/m2,-0.3%,1.2%,0.1%
01/12/15,2.746 €/m2,1.7%,1.7%,0.3%
01/11/15,2.700 €/m2,-0.3%,3.6%,"-1,00%"
01/10/15,2.708 €/m2,0.3%,4.1%,-0.7%
01/09/15,2.700 €/m2,3.6%,"5,00%",-1.6%
01/08/15,2.605 €/m2,0.2%,-0.6%,-4.6%
01/07/15,2.600 €/m2,1.1%,-2.3%,-5.5%
01/06/15,2.572 €/m2,-1.9%,-3.1%,-8.8%
01/05/15,2.622 €/m2,-1.5%,-1.9%,-8.1%
01/04/15,2.662 €/m2,0.3%,-2.7%,-5.6%
01/03/15,2.654 €/m2,-0.7%,"-3,00%",-5.7%
01/02/15,2.672 €/m2,-2.4%,"-2,00%",-5.2%
01/01/15,2.737 €/m2,"0,00%",0.3%,-3.9%
01/12/14,2.737 €/m2,0.4%,-0.3%,-4.9%
01/11/14,2.727 €/m2,"0,00%",-0.1%,"-5,00%"
01/10/14,2.728 €/m2,-0.6%,-0.8%,-4.6%
01/09/14,2.744 €/m2,0.5%,-2.8%,-4.7%
01/08/14,2.731 €/m2,-0.7%,-4.3%,-7.4%
01/07/14,2.750 €/m2,-2.5%,-2.5%,-5.9%
01/06/14,2.821 €/m2,-1.1%,0.3%,-3.5%
01/05/14,2.854 €/m2,1.2%,1.3%,-2.3%
01/04/14,2.820 €/m2,0.2%,"-1,00%",-4.8%
01/03/14,2.814 €/m2,-0.2%,-2.2%,-7.8%
01/02/14,2.818 €/m2,-1.1%,-1.8%,-7.7%
01/01/14,2.849 €/m2,"-1,00%",-0.4%,-7.1%
01/12/13,2.877 €/m2,0.2%,-0.1%,-7.9%
01/11/13,2.870 €/m2,0.3%,-2.7%,-8.6%
01/10/13,2.861 €/m2,-0.7%,-2.1%,-9.1%
01/09/13,2.880 €/m2,-2.4%,-1.5%,"-8,00%"
01/08/13,2.951 €/m2,"1,00%",1.1%,-6.3%
01/07/13,2.922 €/m2,"0,00%",-1.3%,-10.1%
01/06/13,2.923 €/m2,0.1%,-4.2%,-9.6%
01/05/13,2.920 €/m2,-1.4%,-4.3%,-10.2%
01/04/13,2.962 €/m2,-2.9%,-3.4%,-8.5%
01/03/13,3.052 €/m2,n.d.,-2.3%,-6.9%
01/02/13,3.052 €/m2,-0.5%,-2.8%,-6.8%
01/01/13,3.067 €/m2,-1.8%,-2.6%,-7.2%
01/12/12,3.122 €/m2,-0.6%,-0.2%,-7.4%
01/11/12,3.140 €/m2,-0.2%,-0.3%,-8.8%
01/10/12,3.148 €/m2,0.6%,-3.2%,-8.9%
01/09/12,3.130 €/m2,-0.6%,-3.3%,-9.4%
01/08/12,3.149 €/m2,-3.1%,-3.1%,"-8,00%"
01/07/12,3.250 €/m2,0.5%,0.4%,-5.2%
01/06/12,3.235 €/m2,-0.5%,-1.3%,-5.6%
01/05/12,3.250 €/m2,0.4%,-0.7%,-5.6%
01/04/12,3.238 €/m2,-1.2%,"-2,00%",-7.5%
01/03/12,3.277 €/m2,0.1%,-2.8%,-6.6%
01/02/12,3.273 €/m2,"-1,00%","-5,00%",-5.8%
01/01/12,3.304 €/m2,"-2,00%",-4.4%,-4.7%
01/12/11,3.371 €/m2,-2.1%,-2.4%,-3.1%
01/11/11,3.445 €/m2,-0.3%,0.6%,-3.8%
01/10/11,3.456 €/m2,"0,00%",0.8%,-3.2%
01/09/11,3.455 €/m2,0.9%,0.8%,-3.5%
01/08/11,3.425 €/m2,-0.1%,-0.6%,-4.4%
01/07/11,3.429 €/m2,"0,00%","-2,00%",-4.3%
01/06/11,3.428 €/m2,-0.5%,-2.3%,0.2%
