Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,3.683 €/m2,-2.9%,-4.3%,5.9%
01/01/25,3.792 €/m2,-2.8%,1.6%,7.9%
01/12/24,3.900 €/m2,1.4%,9.1%,9.7%
01/11/24,3.847 €/m2,3.1%,8.3%,11.9%
01/10/24,3.731 €/m2,4.3%,5.3%,7.8%
01/09/24,3.577 €/m2,0.7%,"2,00%",3.6%
01/08/24,3.553 €/m2,0.3%,1.8%,3.8%
01/07/24,3.543 €/m2,1.1%,-0.7%,3.9%
01/06/24,3.506 €/m2,0.4%,"-1,00%",2.3%
01/05/24,3.491 €/m2,-2.1%,0.4%,1.5%
01/04/24,3.567 €/m2,0.7%,1.5%,4.2%
01/03/24,3.540 €/m2,1.8%,-0.4%,3.3%
01/02/24,3.477 €/m2,-1.1%,1.2%,"1,00%"
01/01/24,3.514 €/m2,-1.1%,1.5%,0.5%
01/12/23,3.554 €/m2,3.4%,2.9%,2.8%
01/11/23,3.436 €/m2,-0.7%,0.3%,0.2%
01/10/23,3.461 €/m2,0.2%,1.5%,2.6%
01/09/23,3.453 €/m2,0.8%,0.8%,3.5%
01/08/23,3.424 €/m2,0.4%,-0.4%,2.6%
01/07/23,3.410 €/m2,-0.5%,-0.4%,2.3%
01/06/23,3.427 €/m2,-0.3%,"0,00%",3.8%
01/05/23,3.438 €/m2,0.5%,-0.1%,4.8%
01/04/23,3.423 €/m2,-0.2%,-2.1%,3.3%
01/03/23,3.428 €/m2,-0.4%,-0.8%,1.1%
01/02/23,3.443 €/m2,-1.5%,0.4%,1.1%
01/01/23,3.496 €/m2,1.1%,3.6%,2.1%
01/12/22,3.457 €/m2,0.8%,3.6%,1.1%
01/11/22,3.428 €/m2,1.6%,2.7%,0.1%
01/10/22,3.375 €/m2,1.1%,1.3%,-1.4%
01/09/22,3.338 €/m2,"0,00%",1.1%,-2.5%
01/08/22,3.337 €/m2,0.1%,1.7%,-0.3%
01/07/22,3.332 €/m2,0.9%,0.6%,-2.7%
01/06/22,3.302 €/m2,0.6%,-2.6%,-3.5%
01/05/22,3.282 €/m2,"-1,00%",-3.6%,-4.4%
01/04/22,3.314 €/m2,-2.3%,-3.2%,-1.4%
01/03/22,3.391 €/m2,-0.4%,-0.8%,1.7%
01/02/22,3.406 €/m2,-0.5%,-0.6%,2.2%
01/01/22,3.424 €/m2,0.2%,"0,00%",2.9%
01/12/21,3.418 €/m2,-0.2%,-0.1%,5.5%
01/11/21,3.425 €/m2,0.1%,2.3%,3.7%
01/10/21,3.423 €/m2,"0,00%","0,00%",2.8%
01/09/21,3.423 €/m2,2.3%,"0,00%",1.7%
01/08/21,3.347 €/m2,-2.3%,-2.5%,-0.3%
01/07/21,3.424 €/m2,"0,00%",1.9%,"2,00%"
01/06/21,3.423 €/m2,-0.3%,2.7%,2.2%
