Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,2.897 €/m2,3.7%,"5,00%",5.7%
01/01/25,2.793 €/m2,-0.8%,2.4%,1.1%
01/12/24,2.817 €/m2,2.1%,-0.6%,3.7%
01/11/24,2.759 €/m2,1.1%,-3.3%,"3,00%"
01/10/24,2.728 €/m2,-3.7%,-1.6%,3.4%
01/09/24,2.834 €/m2,-0.6%,4.2%,8.2%
01/08/24,2.852 €/m2,2.9%,7.6%,9.8%
01/07/24,2.771 €/m2,1.9%,1.7%,6.6%
01/06/24,2.720 €/m2,2.6%,-1.1%,5.3%
01/05/24,2.651 €/m2,-2.8%,-3.3%,2.6%
01/04/24,2.726 €/m2,-0.9%,-1.3%,7.2%
01/03/24,2.750 €/m2,0.3%,1.2%,8.3%
01/02/24,2.742 €/m2,-0.8%,2.4%,7.8%
01/01/24,2.763 €/m2,1.7%,4.7%,10.8%
01/12/23,2.718 €/m2,1.5%,3.8%,10.6%
01/11/23,2.679 €/m2,1.5%,3.1%,9.3%
01/10/23,2.638 €/m2,0.8%,1.5%,8.6%
01/09/23,2.618 €/m2,0.8%,1.4%,7.1%
01/08/23,2.599 €/m2,"0,00%",0.6%,5.6%
01/07/23,2.599 €/m2,0.6%,2.1%,"4,00%"
01/06/23,2.583 €/m2,"0,00%",1.7%,3.7%
01/05/23,2.583 €/m2,1.5%,1.5%,4.4%
01/04/23,2.544 €/m2,0.2%,"2,00%","4,00%"
01/03/23,2.540 €/m2,-0.2%,3.4%,3.1%
01/02/23,2.544 €/m2,"2,00%",3.8%,4.6%
01/01/23,2.494 €/m2,1.5%,2.7%,0.6%
01/12/22,2.457 €/m2,0.2%,0.5%,-2.8%
01/11/22,2.451 €/m2,0.9%,-0.4%,-1.6%
01/10/22,2.429 €/m2,-0.6%,-2.8%,-1.3%
01/09/22,2.445 €/m2,-0.7%,-1.8%,-0.6%
01/08/22,2.461 €/m2,-1.5%,-0.5%,1.7%
01/07/22,2.498 €/m2,0.3%,2.1%,2.2%
01/06/22,2.491 €/m2,0.7%,1.1%,1.3%
01/05/22,2.474 €/m2,1.1%,1.7%,"-1,00%"
01/04/22,2.446 €/m2,-0.7%,-1.3%,-0.9%
01/03/22,2.464 €/m2,1.3%,-2.5%,0.5%
01/02/22,2.433 €/m2,-1.8%,-2.4%,0.5%
01/01/22,2.479 €/m2,-1.9%,0.8%,3.1%
01/12/21,2.527 €/m2,1.4%,2.7%,4.8%
01/11/21,2.492 €/m2,1.3%,"3,00%",3.8%
01/10/21,2.460 €/m2,"0,00%",0.6%,3.2%
01/09/21,2.460 €/m2,1.7%,0.1%,3.9%
01/08/21,2.419 €/m2,"-1,00%",-3.2%,3.7%
01/07/21,2.444 €/m2,-0.6%,"-1,00%",3.4%
01/06/21,2.458 €/m2,-1.7%,0.2%,3.6%
01/05/21,2.500 €/m2,1.3%,3.2%,4.2%
01/04/21,2.468 €/m2,0.6%,2.7%,1.4%
01/03/21,2.453 €/m2,1.3%,1.7%,1.2%
01/02/21,2.422 €/m2,0.8%,0.9%,-1.6%
01/01/21,2.403 €/m2,-0.3%,0.8%,-3.9%
01/12/20,2.411 €/m2,0.5%,1.8%,-5.6%
01/11/20,2.400 €/m2,0.7%,2.9%,-5.9%
01/10/20,2.383 €/m2,0.6%,0.8%,"-6,00%"
01/09/20,2.368 €/m2,1.5%,-0.2%,-3.5%
01/08/20,2.333 €/m2,-1.3%,-2.8%,-2.9%
01/07/20,2.365 €/m2,-0.3%,-2.8%,-3.2%
01/06/20,2.372 €/m2,-1.1%,-2.1%,-2.3%
01/05/20,2.399 €/m2,-1.4%,-2.5%,-0.1%
01/04/20,2.433 €/m2,0.4%,-2.7%,"3,00%"
