Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,4.789 €/m2,-0.2%,-0.2%,7.8%
01/01/25,4.800 €/m2,n.d.,"2,00%",6.9%
01/12/24,4.800 €/m2,n.d.,2.9%,8.4%
01/11/24,4.800 €/m2,"2,00%",2.6%,9.1%
01/10/24,4.706 €/m2,0.8%,0.6%,7.7%
01/09/24,4.667 €/m2,-0.3%,0.6%,5.2%
01/08/24,4.680 €/m2,n.d.,3.3%,4.6%
01/07/24,4.680 €/m2,0.9%,3.3%,3.2%
01/06/24,4.638 €/m2,2.3%,3.3%,3.9%
01/05/24,4.531 €/m2,n.d.,"2,00%",2.2%
01/04/24,4.531 €/m2,0.9%,0.9%,1.3%
01/03/24,4.490 €/m2,"1,00%",1.4%,-0.4%
01/02/24,4.444 €/m2,"-1,00%","1,00%","-2,00%"
01/01/24,4.490 €/m2,1.4%,2.7%,-1.3%
01/12/23,4.429 €/m2,0.6%,-0.2%,-2.7%
01/11/23,4.400 €/m2,0.7%,-1.6%,-3.3%
01/10/23,4.370 €/m2,-1.5%,-3.6%,-4.4%
01/09/23,4.438 €/m2,-0.8%,-0.5%,-1.5%
01/08/23,4.474 €/m2,-1.3%,0.9%,-0.6%
01/07/23,4.534 €/m2,1.6%,1.4%,3.3%
01/06/23,4.462 €/m2,0.6%,"-1,00%",1.8%
01/05/23,4.435 €/m2,-0.8%,-2.2%,1.6%
01/04/23,4.472 €/m2,-0.8%,-1.7%,2.5%
01/03/23,4.506 €/m2,-0.7%,"-1,00%",4.7%
01/02/23,4.536 €/m2,-0.3%,-0.3%,6.3%
01/01/23,4.550 €/m2,n.d.,-0.5%,5.7%
01/12/22,4.550 €/m2,n.d.,"1,00%",6.1%
01/11/22,4.550 €/m2,-0.5%,1.1%,7.5%
01/10/22,4.573 €/m2,1.5%,4.2%,8.4%
01/09/22,4.504 €/m2,0.1%,2.8%,8.1%
01/08/22,4.500 €/m2,2.5%,3.1%,"8,00%"
01/07/22,4.389 €/m2,0.1%,0.6%,3.9%
01/06/22,4.383 €/m2,0.4%,1.8%,2.1%
01/05/22,4.364 €/m2,"0,00%",2.3%,-0.4%
01/04/22,4.363 €/m2,1.4%,1.3%,-1.1%
01/03/22,4.304 €/m2,0.9%,0.4%,-2.2%
01/02/22,4.267 €/m2,-0.9%,0.8%,-3.3%
01/01/22,4.306 €/m2,0.4%,2.1%,-1.6%
01/12/21,4.288 €/m2,1.3%,2.9%,-2.9%
01/11/21,4.231 €/m2,0.3%,1.6%,-4.5%
01/10/21,4.217 €/m2,1.2%,-0.2%,-5.3%
01/09/21,4.167 €/m2,n.d.,-2.9%,-5.7%
01/08/21,4.167 €/m2,-1.4%,-4.9%,-5.6%
01/07/21,4.225 €/m2,-1.6%,-4.2%,-3.7%
01/06/21,4.292 €/m2,"-2,00%",-2.4%,-2.7%
01/05/21,4.382 €/m2,-0.7%,-0.7%,-0.7%
01/04/21,4.412 €/m2,0.3%,0.8%,0.9%
01/03/21,4.400 €/m2,-0.3%,-0.3%,2.8%
01/02/21,4.414 €/m2,0.9%,-0.4%,"3,00%"
01/01/21,4.375 €/m2,-0.9%,-1.7%,4.3%
01/12/20,4.414 €/m2,-0.4%,-0.1%,5.1%
01/11/20,4.431 €/m2,-0.5%,0.4%,5.2%
01/10/20,4.452 €/m2,0.8%,1.4%,7.3%
01/09/20,4.417 €/m2,0.1%,0.1%,8.5%
01/08/20,4.412 €/m2,0.5%,n.d.,8.9%
01/07/20,4.389 €/m2,-0.5%,0.4%,8.9%
01/06/20,4.412 €/m2,n.d.,3.1%,10.3%
01/05/20,4.412 €/m2,0.9%,2.9%,10.3%
01/04/20,4.370 €/m2,2.1%,4.2%,7.3%
01/03/20,4.279 €/m2,-0.1%,1.9%,5.8%
01/02/20,4.286 €/m2,2.2%,1.7%,6.2%
01/01/20,4.194 €/m2,-0.2%,1.1%,4.8%
01/12/19,4.200 €/m2,-0.3%,3.2%,5.2%
01/11/19,4.214 €/m2,1.6%,"4,00%",7.7%
01/10/19,4.149 €/m2,1.9%,"3,00%","7,00%"
01/09/19,4.071 €/m2,0.5%,1.8%,5.3%
01/08/19,4.050 €/m2,0.5%,1.3%,4.1%
01/07/19,4.029 €/m2,0.7%,-1.1%,4.3%
01/06/19,4.000 €/m2,n.d.,-1.1%,2.5%
01/05/19,4.000 €/m2,-1.8%,-0.9%,2.8%
01/04/19,4.071 €/m2,0.7%,1.8%,5.8%
01/03/19,4.043 €/m2,0.2%,1.3%,6.4%
01/02/19,4.036 €/m2,0.9%,3.1%,8.3%
01/01/19,4.000 €/m2,0.2%,3.2%,8.1%
01/12/18,3.991 €/m2,"2,00%",3.2%,8.3%
01/11/18,3.913 €/m2,0.9%,0.5%,6.7%
01/10/18,3.877 €/m2,0.3%,0.3%,5.8%
01/09/18,3.867 €/m2,-0.7%,-0.9%,4.7%
01/08/18,3.892 €/m2,0.7%,"0,00%",5.1%
01/07/18,3.864 €/m2,-0.9%,0.4%,4.6%
01/06/18,3.901 €/m2,0.3%,2.7%,4.7%
01/05/18,3.891 €/m2,1.1%,4.4%,4.4%
01/04/18,3.850 €/m2,1.3%,4.1%,2.6%
01/03/18,3.800 €/m2,"2,00%",3.1%,2.7%
01/02/18,3.726 €/m2,0.7%,1.6%,1.3%
01/01/18,3.700 €/m2,0.4%,"1,00%",0.7%
01/12/17,3.685 €/m2,0.5%,-0.2%,-0.7%
01/11/17,3.667 €/m2,0.1%,"-1,00%",-1.8%
01/10/17,3.664 €/m2,-0.8%,-0.8%,-1.7%
01/09/17,3.693 €/m2,-0.3%,-0.9%,-1.2%
01/08/17,3.704 €/m2,0.3%,-0.6%,-0.9%
01/07/17,3.693 €/m2,-0.9%,-1.5%,-0.9%
01/06/17,3.725 €/m2,n.d.,0.7%,"0,00%"
01/05/17,3.725 €/m2,-0.7%,1.3%,-0.3%
01/04/17,3.751 €/m2,1.4%,2.1%,0.3%
01/03/17,3.701 €/m2,0.6%,-0.3%,-1.3%
01/02/17,3.679 €/m2,0.1%,-1.5%,-1.9%
01/01/17,3.674 €/m2,"-1,00%",-1.4%,-1.3%
01/12/16,3.711 €/m2,-0.6%,-0.7%,-0.2%
01/11/16,3.733 €/m2,0.2%,-0.1%,n.d.
01/10/16,3.727 €/m2,-0.3%,"0,00%","0,00%"
01/09/16,3.738 €/m2,"0,00%",0.3%,0.6%
01/08/16,3.737 €/m2,0.3%,"0,00%",0.6%
01/07/16,3.726 €/m2,"0,00%",-0.4%,"0,00%"
01/06/16,3.726 €/m2,-0.3%,-0.6%,-0.2%
01/05/16,3.735 €/m2,-0.1%,-0.4%,-0.4%
01/04/16,3.740 €/m2,-0.3%,0.5%,-0.8%
01/03/16,3.750 €/m2,n.d.,0.8%,-2.5%
01/02/16,3.750 €/m2,0.8%,0.4%,-1.6%
01/01/16,3.721 €/m2,"0,00%",-0.1%,-2.6%
01/12/15,3.720 €/m2,-0.4%,0.2%,"-4,00%"
01/11/15,3.733 €/m2,0.2%,0.5%,-4.9%
01/10/15,3.726 €/m2,0.3%,"0,00%",-6.5%
01/09/15,3.714 €/m2,n.d.,-0.5%,-7.1%
01/08/15,3.714 €/m2,-0.3%,"-1,00%",-7.1%
01/07/15,3.727 €/m2,-0.2%,-1.1%,-7.2%
01/06/15,3.733 €/m2,-0.4%,-2.9%,-7.4%
01/05/15,3.750 €/m2,-0.5%,-1.6%,-4.2%
01/04/15,3.769 €/m2,"-2,00%",-1.4%,-3.8%
01/03/15,3.846 €/m2,0.9%,-0.7%,-2.2%
01/02/15,3.812 €/m2,-0.2%,-2.9%,-3.1%
01/01/15,3.821 €/m2,-1.4%,-4.1%,-3.2%
01/12/14,3.875 €/m2,-1.3%,-3.1%,-3.1%
01/11/14,3.927 €/m2,-1.5%,-1.8%,-1.8%
01/10/14,3.985 €/m2,-0.4%,-0.8%,-0.3%
01/09/14,4.000 €/m2,n.d.,-0.8%,n.d.
01/08/14,4.000 €/m2,-0.4%,2.2%,n.d.
01/07/14,4.018 €/m2,-0.4%,2.6%,-0.3%
01/06/14,4.033 €/m2,3.1%,2.5%,-0.7%
01/05/14,3.913 €/m2,-0.1%,-0.5%,-3.5%
01/04/14,3.917 €/m2,-0.4%,-0.7%,-3.4%
01/03/14,3.933 €/m2,n.d.,-1.7%,-3.9%
01/02/14,3.933 €/m2,-0.3%,-1.6%,-4.5%
01/01/14,3.946 €/m2,-1.3%,-1.3%,-4.7%
01/12/13,4.000 €/m2,0.1%,n.d.,-3.8%
01/11/13,3.998 €/m2,"0,00%",-0.1%,-5.4%
01/10/13,3.998 €/m2,-0.1%,-0.8%,-5.4%
01/09/13,4.000 €/m2,n.d.,-1.5%,-5.2%
01/08/13,4.000 €/m2,-0.8%,-1.4%,"-6,00%"
01/07/13,4.031 €/m2,-0.7%,-0.6%,"-7,00%"
01/06/13,4.061 €/m2,0.1%,-0.8%,"-8,00%"
01/05/13,4.057 €/m2,n.d.,-1.5%,-8.9%
01/04/13,4.057 €/m2,-0.9%,"-2,00%",-8.9%
01/03/13,4.094 €/m2,-0.6%,-1.6%,-8.6%
01/02/13,4.118 €/m2,-0.5%,-2.5%,-8.6%
01/01/13,4.139 €/m2,-0.5%,"-2,00%",-9.1%
01/12/12,4.160 €/m2,-1.5%,-1.4%,-9.9%
01/11/12,4.225 €/m2,n.d.,-0.8%,-9.3%
01/10/12,4.225 €/m2,0.1%,-2.5%,-8.8%
01/09/12,4.221 €/m2,-0.9%,-4.3%,"-8,00%"
01/08/12,4.257 €/m2,-1.8%,-4.4%,-7.3%
01/07/12,4.333 €/m2,-1.8%,-2.7%,-6.8%
01/06/12,4.412 €/m2,-0.9%,-1.5%,-5.9%
01/05/12,4.452 €/m2,-0.1%,-1.2%,-5.9%
01/04/12,4.455 €/m2,-0.6%,-2.2%,-5.5%
01/03/12,4.479 €/m2,-0.6%,-2.9%,-5.3%
01/02/12,4.507 €/m2,-1.1%,-3.2%,-2.5%
01/01/12,4.556 €/m2,-1.3%,-1.6%,-2.8%
01/12/11,4.615 €/m2,-0.9%,0.6%,-2.2%
01/11/11,4.656 €/m2,0.6%,1.4%,0.2%
01/10/11,4.630 €/m2,0.9%,-0.4%,3.4%
01/09/11,4.588 €/m2,-0.1%,-2.2%,3.3%
01/08/11,4.594 €/m2,-1.2%,-2.9%,2.7%
01/07/11,4.649 €/m2,-0.9%,-1.4%,4.8%
01/06/11,4.689 €/m2,-0.9%,-0.9%,6.4%
01/05/11,4.731 €/m2,0.3%,2.4%,9.3%
01/04/11,4.715 €/m2,-0.3%,0.6%,n.d.
01/03/11,4.731 €/m2,2.4%,0.2%,n.d.
01/02/11,4.622 €/m2,-1.4%,-0.5%,n.d.
01/01/11,4.686 €/m2,-0.7%,4.6%,n.d.
01/12/10,4.721 €/m2,1.6%,6.3%,n.d.
01/11/10,4.645 €/m2,3.7%,3.8%,n.d.
01/10/10,4.478 €/m2,0.8%,0.9%,n.d.
01/09/10,4.442 €/m2,-0.7%,0.8%,n.d.
01/08/10,4.473 €/m2,0.8%,3.3%,n.d.
01/07/10,4.438 €/m2,0.6%,n.d.,n.d.
01/06/10,4.409 €/m2,1.8%,n.d.,n.d.
01/05/10,4.329 €/m2,n.d.,n.d.,n.d.
01/04/10,n.d.,n.d.,n.d.,n.d.
01/03/10,n.d.,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
01/12/09,n.d.,n.d.,n.d.,n.d.
01/11/09,n.d.,n.d.,n.d.,n.d.
01/10/09,n.d.,n.d.,n.d.,n.d.
01/09/09,n.d.,n.d.,n.d.,n.d.
01/08/09,n.d.,n.d.,n.d.,n.d.
01/07/09,n.d.,n.d.,n.d.,n.d.
01/06/09,n.d.,n.d.,n.d.,n.d.
01/05/09,n.d.,n.d.,n.d.,n.d.
01/04/09,n.d.,n.d.,n.d.,n.d.
01/03/09,n.d.,n.d.,n.d.,n.d.
01/02/09,n.d.,n.d.,n.d.,n.d.
01/01/09,n.d.,n.d.,n.d.,n.d.
01/12/08,n.d.,n.d.,n.d.,n.d.
01/11/08,n.d.,n.d.,n.d.,n.d.
01/10/08,n.d.,n.d.,n.d.,n.d.
01/09/08,n.d.,n.d.,n.d.,n.d.
01/08/08,n.d.,n.d.,n.d.,n.d.
01/07/08,n.d.,n.d.,n.d.,n.d.
01/06/08,n.d.,n.d.,n.d.,n.d.
01/05/08,n.d.,n.d.,n.d.,n.d.
01/04/08,n.d.,n.d.,n.d.,n.d.
01/03/08,n.d.,n.d.,n.d.,n.d.
01/02/08,n.d.,n.d.,n.d.,n.d.
01/01/08,n.d.,n.d.,n.d.,n.d.
01/12/07,n.d.,n.d.,n.d.,n.d.
01/11/07,n.d.,n.d.,n.d.,n.d.
01/10/07,n.d.,n.d.,n.d.,n.d.
01/09/07,n.d.,n.d.,n.d.,n.d.
01/08/07,n.d.,n.d.,n.d.,n.d.
01/07/07,n.d.,n.d.,n.d.,n.d.
01/06/07,n.d.,n.d.,n.d.,n.d.
01/05/07,n.d.,n.d.,n.d.,n.d.
01/04/07,n.d.,n.d.,n.d.,n.d.
01/03/07,n.d.,n.d.,n.d.,n.d.
01/02/07,n.d.,n.d.,n.d.,n.d.
01/01/07,n.d.,n.d.,n.d.,n.d.
01/12/06,n.d.,n.d.,n.d.,n.d.
01/11/06,n.d.,n.d.,n.d.,n.d.
01/10/06,n.d.,n.d.,n.d.,n.d.
01/09/06,n.d.,n.d.,n.d.,n.d.
01/08/06,n.d.,n.d.,n.d.,n.d.
01/07/06,n.d.,n.d.,n.d.,n.d.
01/06/06,n.d.,n.d.,n.d.,n.d.
01/05/06,n.d.,n.d.,n.d.,n.d.
01/04/06,n.d.,n.d.,n.d.,n.d.
01/03/06,n.d.,n.d.,n.d.,n.d.
01/02/06,n.d.,n.d.,n.d.,n.d.
01/01/06,n.d.,n.d.,n.d.,n.d.
