Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,2.945 €/m2,-0.5%,1.1%,11.2%
01/01/25,2.961 €/m2,-0.5%,3.9%,11.3%
01/12/24,2.975 €/m2,2.1%,8.2%,17.2%
01/11/24,2.913 €/m2,2.2%,9.6%,11.9%
01/10/24,2.851 €/m2,3.7%,8.4%,12.7%
01/09/24,2.749 €/m2,3.5%,6.1%,5.6%
01/08/24,2.657 €/m2,"1,00%",2.1%,5.5%
01/07/24,2.630 €/m2,1.6%,0.6%,5.5%
01/06/24,2.590 €/m2,-0.5%,-0.6%,2.8%
01/05/24,2.602 €/m2,-0.5%,-1.7%,-0.1%
01/04/24,2.614 €/m2,0.3%,-1.8%,4.9%
01/03/24,2.606 €/m2,-1.6%,2.6%,4.6%
01/02/24,2.648 €/m2,-0.5%,1.7%,9.1%
01/01/24,2.661 €/m2,4.8%,5.2%,12.4%
01/12/23,2.539 €/m2,-2.4%,-2.4%,8.8%
01/11/23,2.602 €/m2,2.9%,3.3%,11.9%
01/10/23,2.530 €/m2,-2.8%,1.5%,5.3%
01/09/23,2.603 €/m2,3.3%,3.3%,10.9%
01/08/23,2.519 €/m2,"1,00%",-3.3%,8.2%
01/07/23,2.493 €/m2,"-1,00%","0,00%",7.2%
01/06/23,2.519 €/m2,-3.3%,1.1%,13.7%
01/05/23,2.604 €/m2,4.5%,7.3%,20.7%
01/04/23,2.492 €/m2,"0,00%",5.2%,"14,00%"
01/03/23,2.492 €/m2,2.7%,6.8%,13.9%
01/02/23,2.426 €/m2,2.4%,4.3%,12.7%
01/01/23,2.368 €/m2,1.5%,-1.4%,5.5%
01/12/22,2.334 €/m2,0.4%,-0.5%,0.3%
01/11/22,2.325 €/m2,-3.2%,-0.1%,"-2,00%"
01/10/22,2.403 €/m2,2.4%,3.3%,1.7%
01/09/22,2.346 €/m2,0.8%,5.9%,-1.7%
01/08/22,2.327 €/m2,0.1%,7.8%,-2.7%
01/07/22,2.325 €/m2,4.9%,6.4%,-3.9%
01/06/22,2.216 €/m2,2.7%,1.3%,-4.4%
01/05/22,2.158 €/m2,-1.3%,0.2%,-5.1%
01/04/22,2.186 €/m2,-0.1%,-2.7%,-4.2%
01/03/22,2.188 €/m2,1.6%,"-6,00%",-5.6%
01/02/22,2.153 €/m2,-4.1%,-9.3%,-6.4%
01/01/22,2.246 €/m2,-3.5%,-4.9%,-1.4%
01/12/21,2.328 €/m2,-1.9%,-2.5%,2.1%
01/11/21,2.373 €/m2,0.5%,-0.7%,7.3%
01/10/21,2.362 €/m2,"-1,00%",-2.3%,7.2%
01/09/21,2.386 €/m2,-0.2%,"3,00%",6.7%
01/08/21,2.391 €/m2,-1.1%,5.1%,7.7%
01/07/21,2.418 €/m2,4.4%,"6,00%",6.9%
