Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,3.269 €/m2,3.1%,"4,00%",10.8%
01/01/25,3.170 €/m2,-1.8%,2.2%,3.5%
01/12/24,3.230 €/m2,2.8%,5.5%,4.3%
01/11/24,3.143 €/m2,1.3%,1.9%,2.7%
01/10/24,3.102 €/m2,1.3%,"0,00%",3.4%
01/09/24,3.063 €/m2,-0.7%,"1,00%",3.7%
01/08/24,3.083 €/m2,-0.6%,2.8%,3.5%
01/07/24,3.101 €/m2,2.3%,5.8%,"6,00%"
01/06/24,3.031 €/m2,1.1%,3.1%,"2,00%"
01/05/24,2.998 €/m2,2.2%,1.6%,0.7%
01/04/24,2.933 €/m2,-0.2%,-4.2%,0.8%
01/03/24,2.938 €/m2,-0.5%,-5.1%,2.3%
01/02/24,2.952 €/m2,-3.6%,-3.6%,4.2%
01/01/24,3.063 €/m2,-1.1%,2.1%,6.7%
01/12/23,3.097 €/m2,1.2%,4.9%,7.9%
01/11/23,3.060 €/m2,"2,00%",2.7%,8.4%
01/10/23,3.000 €/m2,1.6%,2.6%,7.8%
01/09/23,2.953 €/m2,-0.9%,-0.6%,"8,00%"
01/08/23,2.979 €/m2,1.8%,"0,00%",8.5%
01/07/23,2.925 €/m2,-1.6%,0.6%,"8,00%"
01/06/23,2.972 €/m2,-0.2%,3.4%,12.4%
01/05/23,2.978 €/m2,2.4%,5.2%,13.6%
01/04/23,2.909 €/m2,1.3%,1.4%,10.8%
01/03/23,2.873 €/m2,1.5%,0.1%,7.8%
01/02/23,2.832 €/m2,-1.3%,0.3%,5.7%
01/01/23,2.870 €/m2,n.d.,3.1%,5.7%
01/12/22,2.870 €/m2,1.7%,4.9%,6.3%
01/11/22,2.822 €/m2,1.4%,2.8%,2.9%
01/10/22,2.783 €/m2,1.8%,2.8%,0.2%
01/09/22,2.735 €/m2,-0.4%,3.4%,-1.1%
01/08/22,2.744 €/m2,1.3%,4.7%,2.2%
01/07/22,2.709 €/m2,2.4%,3.1%,0.4%
01/06/22,2.645 €/m2,0.9%,-0.8%,-3.8%
01/05/22,2.622 €/m2,-0.2%,-2.1%,-2.8%
01/04/22,2.626 €/m2,-1.5%,-3.3%,-5.9%
01/03/22,2.665 €/m2,-0.5%,-1.3%,-7.1%
01/02/22,2.678 €/m2,-1.4%,-2.3%,-8.7%
01/01/22,2.715 €/m2,0.6%,-2.3%,-6.9%
01/12/21,2.700 €/m2,-1.5%,-2.4%,-5.3%
01/11/21,2.742 €/m2,-1.3%,2.1%,-2.9%
01/10/21,2.778 €/m2,0.4%,"3,00%",-0.8%
01/09/21,2.766 €/m2,"3,00%",0.6%,0.2%
01/08/21,2.686 €/m2,-0.4%,-0.4%,-3.7%
01/07/21,2.698 €/m2,-1.8%,-3.3%,-2.2%
01/06/21,2.749 €/m2,1.9%,-4.2%,-1.4%
01/05/21,2.698 €/m2,-3.3%,"-8,00%",-3.9%
01/04/21,2.791 €/m2,-2.8%,-4.3%,-0.9%
01/03/21,2.870 €/m2,-2.1%,0.7%,2.3%
01/02/21,2.933 €/m2,0.6%,3.8%,6.1%
01/01/21,2.915 €/m2,2.3%,4.1%,4.7%
01/12/20,2.849 €/m2,0.9%,3.2%,1.8%
01/11/20,2.824 €/m2,0.9%,1.3%,0.8%
01/10/20,2.800 €/m2,1.5%,1.5%,2.1%
01/09/20,2.760 €/m2,"-1,00%","-1,00%",5.4%
01/08/20,2.788 €/m2,1.1%,-0.7%,"6,00%"
01/07/20,2.758 €/m2,-1.1%,"-2,00%",4.3%
01/06/20,2.789 €/m2,-0.7%,-0.6%,5.8%
01/05/20,2.808 €/m2,-0.3%,1.6%,7.6%
01/04/20,2.816 €/m2,0.4%,1.2%,8.5%
01/03/20,2.806 €/m2,1.6%,0.3%,9.9%
01/02/20,2.763 €/m2,-0.7%,-1.4%,8.7%
01/01/20,2.783 €/m2,-0.5%,1.5%,9.6%
01/12/19,2.798 €/m2,-0.2%,6.8%,10.4%
01/11/19,2.802 €/m2,2.1%,6.5%,9.2%
01/10/19,2.744 €/m2,4.8%,3.7%,7.6%
01/09/19,2.619 €/m2,-0.5%,-0.7%,0.8%
01/08/19,2.631 €/m2,-0.6%,0.8%,0.7%
01/07/19,2.646 €/m2,0.3%,"2,00%",1.4%
01/06/19,2.636 €/m2,"1,00%",3.2%,1.3%
01/05/19,2.610 €/m2,0.6%,2.7%,0.9%
01/04/19,2.594 €/m2,1.6%,2.2%,1.9%
01/03/19,2.554 €/m2,0.5%,0.8%,-0.1%
01/02/19,2.541 €/m2,0.1%,"-1,00%",-1.3%
01/01/19,2.539 €/m2,0.2%,-0.4%,-0.4%
01/12/18,2.534 €/m2,-1.2%,-2.5%,0.4%
01/11/18,2.566 €/m2,0.7%,-1.8%,2.2%
01/10/18,2.549 €/m2,-1.9%,-2.3%,2.2%
01/09/18,2.599 €/m2,-0.6%,-0.1%,4.2%
01/08/18,2.614 €/m2,0.1%,1.1%,4.9%
01/07/18,2.610 €/m2,0.3%,2.5%,4.7%
01/06/18,2.601 €/m2,0.6%,1.8%,4.5%
01/05/18,2.586 €/m2,1.6%,0.5%,4.7%
01/04/18,2.546 €/m2,-0.4%,-0.1%,2.8%
01/03/18,2.557 €/m2,-0.6%,1.3%,3.6%
01/02/18,2.573 €/m2,"1,00%",2.5%,3.2%
01/01/18,2.548 €/m2,0.9%,2.2%,2.2%
01/12/17,2.525 €/m2,0.5%,1.2%,1.3%
01/11/17,2.511 €/m2,0.7%,0.8%,0.8%
01/10/17,2.495 €/m2,"0,00%","0,00%",0.7%
01/09/17,2.494 €/m2,0.1%,0.1%,1.4%
01/08/17,2.492 €/m2,-0.1%,0.9%,0.4%
01/07/17,2.494 €/m2,0.1%,0.7%,0.1%
01/06/17,2.491 €/m2,0.8%,0.9%,-0.5%
01/05/17,2.470 €/m2,-0.3%,-0.9%,-0.9%
01/04/17,2.476 €/m2,0.3%,-0.7%,-1.5%
01/03/17,2.468 €/m2,"-1,00%",-0.9%,"-1,00%"
01/02/17,2.493 €/m2,"0,00%",0.1%,-0.1%
01/01/17,2.493 €/m2,0.1%,0.6%,"0,00%"
01/12/16,2.492 €/m2,"0,00%",1.3%,-0.9%
01/11/16,2.491 €/m2,0.5%,0.4%,-1.3%
01/10/16,2.478 €/m2,0.7%,-0.6%,-2.5%
01/09/16,2.460 €/m2,-0.9%,-1.7%,-3.3%
01/08/16,2.481 €/m2,-0.4%,-0.4%,-1.5%
01/07/16,2.492 €/m2,-0.4%,-0.9%,-0.8%
01/06/16,2.503 €/m2,0.4%,0.4%,-0.4%
01/05/16,2.492 €/m2,-0.9%,-0.1%,-0.7%
01/04/16,2.515 €/m2,0.9%,0.9%,0.1%
01/03/16,2.493 €/m2,"0,00%",-0.9%,-0.7%
01/02/16,2.494 €/m2,"0,00%",-1.1%,-0.8%
01/01/16,2.493 €/m2,-0.9%,-1.9%,"-1,00%"
01/12/15,2.515 €/m2,-0.3%,-1.2%,-2.2%
01/11/15,2.523 €/m2,-0.7%,0.2%,-2.5%
01/10/15,2.541 €/m2,-0.2%,1.2%,-1.9%
01/09/15,2.545 €/m2,"1,00%",1.3%,-1.8%
01/08/15,2.519 €/m2,0.3%,0.4%,-1.6%
01/07/15,2.511 €/m2,"0,00%",-0.1%,-2.4%
01/06/15,2.512 €/m2,0.1%,0.1%,-4.4%
01/05/15,2.509 €/m2,-0.2%,-0.2%,-6.5%
01/04/15,2.514 €/m2,0.2%,-0.1%,-6.8%
01/03/15,2.510 €/m2,-0.2%,-2.4%,-6.6%
01/02/15,2.514 €/m2,-0.1%,-2.8%,-6.6%
01/01/15,2.517 €/m2,-2.1%,-2.8%,-6.9%
01/12/14,2.571 €/m2,-0.6%,-0.7%,-4.9%
01/11/14,2.587 €/m2,-0.1%,1.1%,-4.3%
01/10/14,2.590 €/m2,n.d.,0.7%,-3.9%
01/09/14,2.590 €/m2,1.2%,-1.5%,-4.1%
01/08/14,2.559 €/m2,-0.5%,-4.6%,-6.4%
01/07/14,2.573 €/m2,-2.1%,-4.6%,-6.2%
01/06/14,2.629 €/m2,"-2,00%",-2.2%,-4.5%
01/05/14,2.682 €/m2,-0.5%,-0.3%,-3.5%
01/04/14,2.697 €/m2,0.4%,-0.3%,-3.5%
01/03/14,2.687 €/m2,-0.1%,-0.6%,-6.1%
01/02/14,2.691 €/m2,-0.5%,-0.4%,-6.2%
01/01/14,2.704 €/m2,0.1%,0.4%,"-8,00%"
01/12/13,2.703 €/m2,"0,00%",0.1%,-8.7%
01/11/13,2.702 €/m2,0.3%,-1.2%,-9.8%
01/10/13,2.694 €/m2,-0.3%,-1.8%,-11.4%
01/09/13,2.701 €/m2,-1.2%,-1.8%,-11.6%
01/08/13,2.735 €/m2,-0.3%,-1.6%,-10.3%
01/07/13,2.744 €/m2,-0.3%,-1.8%,-11.6%
01/06/13,2.752 €/m2,"-1,00%",-3.8%,"-13,00%"
01/05/13,2.780 €/m2,-0.5%,-3.1%,-14.4%
01/04/13,2.795 €/m2,-2.3%,-4.9%,-14.6%
01/03/13,2.862 €/m2,-0.2%,-3.3%,-12.8%
01/02/13,2.867 €/m2,-2.5%,-4.3%,-12.4%
01/01/13,2.940 €/m2,-0.6%,-3.3%,-10.5%
01/12/12,2.959 €/m2,-1.3%,-3.1%,"-11,00%"
01/11/12,2.997 €/m2,-1.4%,-1.7%,-11.4%
01/10/12,3.040 €/m2,-0.5%,"-2,00%","-11,00%"
01/09/12,3.055 €/m2,0.2%,-3.5%,"-10,00%"
01/08/12,3.050 €/m2,-1.7%,"-6,00%",-10.1%
01/07/12,3.103 €/m2,-1.9%,-5.2%,-9.1%
01/06/12,3.165 €/m2,-2.5%,-3.5%,-9.3%
01/05/12,3.246 €/m2,-0.8%,-0.8%,-7.6%
01/04/12,3.272 €/m2,-0.3%,-0.4%,-7.6%
01/03/12,3.280 €/m2,0.3%,-1.4%,-7.4%
01/02/12,3.272 €/m2,-0.4%,-3.3%,-8.4%
01/01/12,3.286 €/m2,-1.2%,-3.8%,-8.5%
01/12/11,3.326 €/m2,-1.7%,"-2,00%",-6.4%
01/11/11,3.384 €/m2,-0.9%,-0.3%,"-4,00%"
01/10/11,3.416 €/m2,0.7%,"0,00%",-2.4%
01/09/11,3.393 €/m2,"0,00%",-2.7%,-3.3%
01/08/11,3.393 €/m2,-0.6%,-3.4%,-4.2%
01/07/11,3.415 €/m2,-2.1%,-3.6%,-2.7%
01/06/11,3.488 €/m2,-0.7%,-1.5%,"0,00%"
01/05/11,3.512 €/m2,-0.9%,-1.7%,1.9%
01/04/11,3.543 €/m2,"0,00%",-1.4%,4.6%
01/03/11,3.542 €/m2,-0.9%,-0.3%,4.6%
01/02/11,3.574 €/m2,-0.5%,1.4%,n.d.
01/01/11,3.592 €/m2,1.1%,2.6%,n.d.
01/12/10,3.554 €/m2,0.8%,1.3%,n.d.
01/11/10,3.524 €/m2,0.7%,-0.5%,n.d.
01/10/10,3.501 €/m2,-0.2%,-0.2%,n.d.
01/09/10,3.509 €/m2,-0.9%,0.6%,n.d.
01/08/10,3.541 €/m2,0.9%,2.7%,n.d.
01/07/10,3.510 €/m2,0.6%,3.6%,n.d.
01/06/10,3.490 €/m2,1.3%,3.1%,n.d.
01/05/10,3.446 €/m2,1.7%,n.d.,n.d.
01/04/10,3.388 €/m2,0.1%,n.d.,n.d.
01/03/10,3.385 €/m2,n.d.,n.d.,n.d.
01/02/10,n.d.,n.d.,n.d.,n.d.
01/01/10,n.d.,n.d.,n.d.,n.d.
