Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,3.136 €/m2,-0.3%,2.7%,6.8%
01/01/25,3.144 €/m2,-0.4%,4.4%,7.9%
01/12/24,3.157 €/m2,3.4%,"5,00%",11.2%
01/11/24,3.053 €/m2,1.4%,2.9%,8.7%
01/10/24,3.011 €/m2,0.1%,-1.2%,"8,00%"
01/09/24,3.007 €/m2,1.3%,-0.6%,10.3%
01/08/24,2.968 €/m2,-2.6%,-3.9%,9.4%
01/07/24,3.048 €/m2,0.7%,0.4%,11.4%
01/06/24,3.026 €/m2,"-2,00%","1,00%",10.8%
01/05/24,3.088 €/m2,1.7%,5.1%,11.9%
01/04/24,3.036 €/m2,1.3%,4.2%,10.6%
01/03/24,2.996 €/m2,"2,00%",5.5%,10.5%
01/02/24,2.937 €/m2,0.8%,4.5%,"8,00%"
01/01/24,2.915 €/m2,2.6%,4.6%,7.7%
01/12/23,2.840 €/m2,1.1%,4.2%,4.9%
01/11/23,2.810 €/m2,0.8%,3.6%,"2,00%"
01/10/23,2.787 €/m2,2.2%,1.8%,1.2%
01/09/23,2.727 €/m2,0.5%,-0.2%,-2.2%
01/08/23,2.713 €/m2,-0.9%,-1.7%,-3.7%
01/07/23,2.737 €/m2,0.2%,-0.3%,-1.1%
01/06/23,2.732 €/m2,"-1,00%",0.7%,1.2%
01/05/23,2.759 €/m2,0.5%,1.5%,1.7%
01/04/23,2.746 €/m2,1.2%,1.5%,2.9%
01/03/23,2.713 €/m2,-0.2%,0.2%,0.1%
01/02/23,2.719 €/m2,0.5%,-1.3%,-0.2%
01/01/23,2.705 €/m2,-0.1%,-1.8%,0.7%
01/12/22,2.708 €/m2,-1.7%,-2.9%,1.4%
01/11/22,2.755 €/m2,"0,00%",-2.2%,4.1%
01/10/22,2.754 €/m2,-1.3%,-0.5%,5.4%
01/09/22,2.789 €/m2,"-1,00%",3.3%,4.6%
01/08/22,2.817 €/m2,1.8%,3.9%,6.5%
01/07/22,2.768 €/m2,2.6%,3.8%,5.2%
01/06/22,2.699 €/m2,-0.5%,-0.4%,5.4%
01/05/22,2.713 €/m2,1.7%,-0.4%,6.1%
01/04/22,2.668 €/m2,-1.6%,-0.7%,4.1%
01/03/22,2.710 €/m2,-0.5%,1.5%,4.4%
01/02/22,2.725 €/m2,1.4%,"3,00%",5.1%
01/01/22,2.687 €/m2,0.6%,2.8%,4.4%
01/12/21,2.670 €/m2,0.9%,0.1%,4.3%
01/11/21,2.646 €/m2,1.2%,"0,00%",3.8%
01/10/21,2.613 €/m2,"-2,00%",-0.7%,2.3%
01/09/21,2.667 €/m2,0.8%,4.1%,7.6%
01/08/21,2.646 €/m2,0.5%,3.5%,"9,00%"
01/07/21,2.632 €/m2,2.7%,2.7%,8.9%
01/06/21,2.562 €/m2,0.2%,-1.3%,7.7%
01/05/21,2.557 €/m2,-0.3%,-1.3%,7.1%
01/04/21,2.564 €/m2,-1.3%,-0.4%,7.6%
01/03/21,2.596 €/m2,0.2%,1.4%,10.3%
01/02/21,2.591 €/m2,0.7%,1.6%,11.9%
01/01/21,2.574 €/m2,0.6%,0.7%,9.6%
01/12/20,2.559 €/m2,0.4%,3.2%,8.6%
01/11/20,2.550 €/m2,-0.2%,5.1%,8.6%
01/10/20,2.555 €/m2,"3,00%",5.7%,7.5%
01/09/20,2.480 €/m2,2.2%,4.2%,3.1%
01/08/20,2.426 €/m2,0.4%,1.7%,-0.5%
01/07/20,2.417 €/m2,1.6%,1.4%,-1.4%
01/06/20,2.379 €/m2,-0.3%,1.1%,-4.2%
01/05/20,2.387 €/m2,0.2%,3.1%,-4.1%
01/04/20,2.383 €/m2,1.2%,1.4%,-2.3%
01/03/20,2.354 €/m2,1.7%,-0.1%,-1.5%
01/02/20,2.316 €/m2,-1.4%,-1.4%,-1.5%
01/01/20,2.349 €/m2,-0.3%,-1.1%,0.4%
01/12/19,2.356 €/m2,0.4%,"-2,00%","2,00%"
01/11/19,2.348 €/m2,-1.2%,-3.7%,0.4%
01/10/19,2.377 €/m2,-1.2%,"-3,00%",1.1%
01/09/19,2.405 €/m2,-1.3%,-3.1%,1.9%
01/08/19,2.438 €/m2,-0.5%,"-2,00%",2.1%
01/07/19,2.451 €/m2,-1.3%,0.5%,3.3%
01/06/19,2.483 €/m2,-0.2%,3.9%,4.5%
01/05/19,2.489 €/m2,"2,00%",5.9%,4.7%
01/04/19,2.440 €/m2,2.1%,4.3%,0.7%
01/03/19,2.390 €/m2,1.7%,3.4%,-1.6%
01/02/19,2.350 €/m2,0.5%,0.4%,-3.3%
01/01/19,2.339 €/m2,1.3%,-0.5%,-2.8%
01/12/18,2.310 €/m2,-1.3%,-2.1%,-4.5%
01/11/18,2.340 €/m2,-0.5%,"-2,00%",-1.5%
01/10/18,2.351 €/m2,-0.4%,-0.9%,0.1%
01/09/18,2.360 €/m2,-1.1%,-0.6%,-0.4%
01/08/18,2.388 €/m2,0.6%,0.5%,1.6%
01/07/18,2.372 €/m2,-0.1%,-2.1%,0.9%
01/06/18,2.375 €/m2,-0.1%,-2.2%,1.8%
01/05/18,2.377 €/m2,"-2,00%",-2.2%,2.6%
01/04/18,2.424 €/m2,-0.2%,0.7%,4.6%
01/03/18,2.429 €/m2,"0,00%",0.4%,3.9%
01/02/18,2.430 €/m2,0.9%,2.3%,3.9%
01/01/18,2.407 €/m2,-0.5%,2.5%,3.3%
01/12/17,2.419 €/m2,1.8%,2.1%,3.9%
01/11/17,2.375 €/m2,1.2%,1.1%,0.8%
01/10/17,2.348 €/m2,-0.9%,-0.1%,0.4%
01/09/17,2.370 €/m2,0.9%,1.5%,1.4%
01/08/17,2.349 €/m2,-0.1%,1.4%,0.6%
01/07/17,2.351 €/m2,0.7%,1.5%,0.6%
01/06/17,2.334 €/m2,0.8%,-0.2%,0.4%
01/05/17,2.316 €/m2,"0,00%",-0.9%,-0.6%
01/04/17,2.317 €/m2,-0.9%,-0.6%,-1.8%
01/03/17,2.339 €/m2,0.1%,0.4%,-0.8%
01/02/17,2.337 €/m2,0.3%,-0.8%,-1.5%
01/01/17,2.330 €/m2,0.1%,-0.4%,-1.1%
01/12/16,2.328 €/m2,-1.2%,-0.4%,-1.6%
01/11/16,2.356 €/m2,0.8%,0.9%,"0,00%"
01/10/16,2.338 €/m2,"0,00%","0,00%",-0.2%
01/09/16,2.338 €/m2,0.1%,0.6%,"-2,00%"
01/08/16,2.336 €/m2,"0,00%",0.3%,-0.1%
01/07/16,2.337 €/m2,0.6%,-0.9%,-0.3%
01/06/16,2.324 €/m2,-0.3%,-1.4%,-3.4%
01/05/16,2.330 €/m2,-1.2%,-1.8%,-3.5%
01/04/16,2.359 €/m2,"0,00%",0.2%,-3.1%
01/03/16,2.358 €/m2,-0.6%,-0.3%,-3.6%
01/02/16,2.373 €/m2,0.8%,0.7%,-3.7%
01/01/16,2.354 €/m2,-0.5%,0.5%,-5.4%
01/12/15,2.366 €/m2,0.4%,-0.9%,"-7,00%"
01/11/15,2.357 €/m2,0.6%,0.8%,-6.9%
01/10/15,2.342 €/m2,-1.9%,-0.1%,"-9,00%"
01/09/15,2.386 €/m2,"2,00%",-0.8%,-7.3%
01/08/15,2.339 €/m2,-0.2%,-3.1%,-8.5%
01/07/15,2.344 €/m2,-2.6%,-3.7%,-9.4%
01/06/15,2.405 €/m2,-0.4%,-1.6%,-7.5%
01/05/15,2.414 €/m2,-0.8%,"-2,00%","-9,00%"
01/04/15,2.434 €/m2,-0.5%,-2.2%,-8.8%
01/03/15,2.445 €/m2,-0.7%,-3.9%,-9.2%
01/02/15,2.464 €/m2,"-1,00%",-2.7%,"-9,00%"
01/01/15,2.489 €/m2,-2.1%,-3.3%,-8.1%
01/12/14,2.544 €/m2,0.5%,-1.2%,-7.1%
01/11/14,2.531 €/m2,-1.7%,-0.9%,-9.9%
01/10/14,2.574 €/m2,"0,00%",-0.5%,-9.2%
01/09/14,2.574 €/m2,0.7%,"-1,00%",-9.3%
01/08/14,2.555 €/m2,-1.3%,-3.7%,-10.9%
01/07/14,2.588 €/m2,-0.4%,"-3,00%",-11.1%
01/06/14,2.600 €/m2,"-2,00%",-3.4%,-11.4%
01/05/14,2.653 €/m2,-0.5%,"-2,00%","-10,00%"
01/04/14,2.668 €/m2,-0.9%,-1.5%,-9.7%
01/03/14,2.692 €/m2,-0.6%,-1.7%,-9.5%
01/02/14,2.708 €/m2,"0,00%",-3.5%,-9.1%
01/01/14,2.708 €/m2,-1.1%,-4.5%,-9.3%
01/12/13,2.738 €/m2,-2.5%,-3.5%,-9.4%
