,Año,Renta total,Renta del trabajo,Renta capital mobiliario,Renta capital inmobiliario,Renta de actividades,Transferencias,Renta disponible,Distrito
0,2006-01-01,18196.0,10749.0,2315.0,312.0,1024.0,3797.0,15099.0,BILBAO
1,2009-01-01,20081.0,12285.0,2000.0,372.0,948.0,4476.0,16951.0,BILBAO
2,2011-01-01,19787.0,12062.0,1717.0,417.0,954.0,4638.0,16520.0,BILBAO
3,2013-01-01,19717.0,11735.0,1613.0,393.0,903.0,5073.0,16318.0,BILBAO
4,2014-01-01,19761.0,11737.0,1484.0,431.0,986.0,5123.0,16399.0,BILBAO
5,2015-01-01,20313.0,11734.0,1403.0,451.0,1138.0,5587.0,16797.0,BILBAO
6,2016-01-01,20526.0,11855.0,1467.0,477.0,1064.0,5662.0,16976.0,BILBAO
7,2017-01-01,21245.0,12448.0,1343.0,518.0,1107.0,5829.0,17556.0,BILBAO
8,2018-01-01,21538.0,12571.0,1394.0,511.0,1163.0,5899.0,17685.0,BILBAO
9,2019-01-01,22659.0,13304.0,1441.0,566.0,1190.0,6157.0,18663.0,BILBAO
10,2020-01-01,22464.0,12656.0,1357.0,530.0,1108.0,6813.0,18647.0,BILBAO
11,2021-01-01,23592.0,13491.0,1461.0,563.0,1270.0,6807.0,19405.0,BILBAO
12,2022-01-01,25366.0,14545.0,1780.0,623.0,1236.0,7181.0,20849.0,BILBAO
13,2006-01-01,31537.0,16037.0,7496.0,790.0,2728.0,4487.0,24914.0,Abando
14,2009-01-01,35939.0,21667.0,5767.0,977.0,2442.0,5085.0,28527.0,Abando
15,2011-01-01,32572.0,18363.0,5274.0,1127.0,2562.0,5246.0,25565.0,Abando
16,2013-01-01,33106.0,18332.0,5084.0,1111.0,2719.0,5860.0,25498.0,Abando
17,2014-01-01,33254.0,18228.0,4940.0,1188.0,2994.0,5904.0,25641.0,Abando
18,2015-01-01,34844.0,19413.0,4671.0,1247.0,3200.0,6314.0,26717.0,Abando
19,2016-01-01,35022.0,18937.0,5041.0,1313.0,3289.0,6441.0,26837.0,Abando
20,2017-01-01,35944.0,19616.0,4775.0,1463.0,3349.0,6741.0,27606.0,Abando
21,2018-01-01,37017.0,19726.0,5248.0,1453.0,3767.0,6823.0,28168.0,Abando
22,2019-01-01,40605.0,22191.0,6037.0,1551.0,3668.0,7158.0,30812.0,Abando
23,2020-01-01,41423.0,21626.0,7010.0,1472.0,3315.0,8000.0,31906.0,Abando
24,2021-01-01,42546.0,22877.0,6324.0,1520.0,4052.0,7774.0,32024.0,Abando
25,2022-01-01,47044.0,24774.0,7893.0,1711.0,3942.0,8725.0,35361.0,Abando
26,2006-01-01,11660.0,6832.0,534.0,57.0,408.0,3830.0,10347.0,Altamira
27,2009-01-01,13172.0,7570.0,483.0,69.0,457.0,4594.0,11871.0,Altamira
28,2011-01-01,12629.0,7272.0,270.0,95.0,538.0,4455.0,11271.0,Altamira
29,2013-01-01,12632.0,7205.0,299.0,78.0,442.0,4607.0,11231.0,Altamira
30,2014-01-01,12509.0,6989.0,254.0,100.0,606.0,4560.0,11203.0,Altamira
31,2015-01-01,13260.0,6950.0,277.0,140.0,763.0,5130.0,11818.0,Altamira
32,2016-01-01,13338.0,7135.0,208.0,168.0,699.0,5127.0,11864.0,Altamira
33,2017-01-01,13853.0,7755.0,118.0,191.0,700.0,5090.0,12309.0,Altamira
34,2018-01-01,14103.0,7886.0,214.0,188.0,733.0,5082.0,12449.0,Altamira
35,2019-01-01,14723.0,8461.0,226.0,214.0,746.0,5076.0,12994.0,Altamira
36,2020-01-01,14206.0,7711.0,143.0,219.0,666.0,5466.0,12624.0,Altamira
37,2021-01-01,15024.0,8525.0,106.0,228.0,704.0,5460.0,13281.0,Altamira
38,2022-01-01,15863.0,9303.0,142.0,221.0,716.0,5481.0,13986.0,Altamira
39,2006-01-01,19621.0,11366.0,2442.0,411.0,917.0,4486.0,16195.0,Ametzola
40,2009-01-01,21861.0,12951.0,2315.0,485.0,951.0,5159.0,18363.0,Ametzola
41,2011-01-01,21352.0,12805.0,1797.0,545.0,925.0,5280.0,17705.0,Ametzola
42,2013-01-01,21189.0,12508.0,1718.0,488.0,879.0,5596.0,17489.0,Ametzola
43,2014-01-01,20879.0,12285.0,1535.0,525.0,880.0,5654.0,17247.0,Ametzola
44,2015-01-01,20979.0,12133.0,1325.0,536.0,960.0,6026.0,17331.0,Ametzola
45,2016-01-01,21351.0,12246.0,1438.0,524.0,1007.0,6136.0,17598.0,Ametzola
46,2017-01-01,21511.0,12528.0,1249.0,571.0,912.0,6251.0,17816.0,Ametzola
47,2018-01-01,21449.0,12470.0,1159.0,557.0,1037.0,6225.0,17650.0,Ametzola
48,2019-01-01,22975.0,13587.0,1183.0,620.0,1129.0,6455.0,18937.0,Ametzola
49,2020-01-01,22904.0,13020.0,1101.0,603.0,1038.0,7143.0,19013.0,Ametzola
50,2021-01-01,24409.0,14080.0,1299.0,638.0,1293.0,7099.0,20092.0,Ametzola
51,2022-01-01,25873.0,15128.0,1440.0,702.0,1232.0,7371.0,21276.0,Ametzola
52,2006-01-01,12758.0,7697.0,579.0,47.0,493.0,3942.0,11223.0,Arabella
53,2009-01-01,14477.0,8722.0,705.0,47.0,524.0,4480.0,12992.0,Arabella
54,2011-01-01,14161.0,8829.0,627.0,58.0,381.0,4265.0,12538.0,Arabella
55,2013-01-01,14251.0,8798.0,495.0,38.0,344.0,4575.0,12540.0,Arabella
56,2014-01-01,13883.0,8667.0,438.0,60.0,451.0,4267.0,12328.0,Arabella
57,2015-01-01,13868.0,8167.0,330.0,73.0,392.0,4905.0,12262.0,Arabella
58,2016-01-01,14149.0,8588.0,203.0,92.0,426.0,4841.0,12498.0,Arabella
59,2017-01-01,14216.0,8911.0,169.0,89.0,423.0,4624.0,12590.0,Arabella
60,2018-01-01,14279.0,9048.0,172.0,74.0,368.0,4617.0,12602.0,Arabella
61,2019-01-01,14742.0,9277.0,131.0,84.0,519.0,4731.0,12998.0,Arabella
62,2020-01-01,14196.0,8450.0,164.0,82.0,405.0,5094.0,12602.0,Arabella
63,2021-01-01,14945.0,9301.0,91.0,84.0,535.0,4934.0,13162.0,Arabella
64,2022-01-01,15996.0,10349.0,143.0,100.0,494.0,4911.0,14101.0,Arabella
65,2006-01-01,12332.0,7865.0,603.0,104.0,637.0,3122.0,10736.0,Arangoiti
66,2009-01-01,13916.0,8711.0,687.0,154.0,564.0,3800.0,12294.0,Arangoiti
67,2011-01-01,13634.0,8540.0,482.0,192.0,520.0,3901.0,11940.0,Arangoiti
68,2013-01-01,13504.0,7991.0,553.0,145.0,508.0,4308.0,11801.0,Arangoiti
69,2014-01-01,13731.0,8041.0,525.0,189.0,602.0,4374.0,12020.0,Arangoiti
70,2015-01-01,14069.0,8016.0,484.0,186.0,593.0,4790.0,12332.0,Arangoiti
71,2016-01-01,14139.0,7979.0,463.0,207.0,574.0,4917.0,12387.0,Arangoiti
72,2017-01-01,14718.0,8207.0,532.0,230.0,686.0,5064.0,12893.0,Arangoiti
73,2018-01-01,15457.0,8338.0,1177.0,193.0,643.0,5106.0,13381.0,Arangoiti
74,2019-01-01,15671.0,8895.0,555.0,246.0,673.0,5302.0,13657.0,Arangoiti
75,2020-01-01,15356.0,8140.0,412.0,232.0,632.0,5939.0,13500.0,Arangoiti
76,2021-01-01,15864.0,8712.0,424.0,249.0,707.0,5772.0,13857.0,Arangoiti
77,2022-01-01,17041.0,9562.0,521.0,261.0,731.0,5967.0,14876.0,Arangoiti
78,2006-01-01,12966.0,7860.0,817.0,124.0,601.0,3564.0,11283.0,Atxuri
79,2009-01-01,14748.0,9129.0,817.0,154.0,577.0,4071.0,13016.0,Atxuri
80,2011-01-01,14724.0,9059.0,802.0,180.0,634.0,4049.0,12821.0,Atxuri
81,2013-01-01,14929.0,9434.0,569.0,139.0,556.0,4231.0,12948.0,Atxuri
82,2014-01-01,15188.0,9835.0,512.0,157.0,641.0,4044.0,13250.0,Atxuri
83,2015-01-01,15761.0,9438.0,597.0,176.0,686.0,4864.0,13711.0,Atxuri
84,2016-01-01,15816.0,9578.0,545.0,184.0,706.0,4803.0,13703.0,Atxuri
85,2017-01-01,16434.0,10259.0,408.0,229.0,678.0,4859.0,14222.0,Atxuri
86,2018-01-01,17044.0,10790.0,505.0,240.0,758.0,4751.0,14624.0,Atxuri
87,2019-01-01,18011.0,11625.0,446.0,269.0,743.0,4927.0,15467.0,Atxuri
88,2020-01-01,17835.0,11060.0,406.0,249.0,716.0,5404.0,15367.0,Atxuri
89,2021-01-01,18889.0,11874.0,428.0,289.0,773.0,5524.0,16203.0,Atxuri
90,2022-01-01,20585.0,12922.0,875.0,343.0,825.0,5620.0,17565.0,Atxuri
91,2006-01-01,19825.0,12113.0,2235.0,392.0,1060.0,4025.0,16200.0,Basurtu
92,2009-01-01,21793.0,13724.0,1965.0,461.0,900.0,4743.0,18162.0,Basurtu
93,2011-01-01,21666.0,13351.0,1930.0,496.0,856.0,5033.0,17883.0,Basurtu
94,2013-01-01,21651.0,12993.0,1772.0,454.0,786.0,5645.0,17670.0,Basurtu
95,2014-01-01,21455.0,12840.0,1526.0,477.0,827.0,5784.0,17646.0,Basurtu
96,2015-01-01,22380.0,13936.0,1252.0,486.0,893.0,5812.0,18404.0,Basurtu
97,2016-01-01,22800.0,14009.0,1427.0,525.0,899.0,5939.0,18695.0,Basurtu
98,2017-01-01,23892.0,14826.0,1395.0,569.0,909.0,6193.0,19625.0,Basurtu
99,2018-01-01,23938.0,14768.0,1273.0,564.0,975.0,6358.0,19543.0,Basurtu
100,2019-01-01,25240.0,15432.0,1404.0,598.0,1005.0,6800.0,20703.0,Basurtu
101,2020-01-01,25401.0,15198.0,1132.0,571.0,917.0,7583.0,20932.0,Basurtu
102,2021-01-01,26855.0,16227.0,1373.0,617.0,1069.0,7571.0,21952.0,Basurtu
103,2022-01-01,28775.0,17232.0,1633.0,685.0,1040.0,8184.0,23527.0,Basurtu
104,2006-01-01,19441.0,11986.0,1994.0,396.0,837.0,4228.0,16053.0,Begoña
105,2009-01-01,21464.0,12631.0,1908.0,463.0,816.0,5646.0,18062.0,Begoña
106,2011-01-01,21483.0,12044.0,1973.0,488.0,679.0,6299.0,17908.0,Begoña
107,2013-01-01,21540.0,11337.0,2019.0,444.0,626.0,7115.0,17790.0,Begoña
108,2014-01-01,22000.0,11403.0,2256.0,466.0,746.0,7128.0,18256.0,Begoña
109,2015-01-01,21829.0,11387.0,1585.0,524.0,712.0,7621.0,18083.0,Begoña
110,2016-01-01,22028.0,11500.0,1428.0,543.0,757.0,7800.0,18243.0,Begoña
111,2017-01-01,22492.0,11397.0,1536.0,585.0,806.0,8168.0,18672.0,Begoña
112,2018-01-01,22555.0,11346.0,1427.0,554.0,875.0,8351.0,18641.0,Begoña
113,2019-01-01,23939.0,12216.0,1419.0,651.0,919.0,8734.0,19869.0,Begoña
114,2020-01-01,23503.0,11653.0,1183.0,592.0,782.0,9292.0,19661.0,Begoña
115,2021-01-01,24125.0,12058.0,1202.0,641.0,980.0,9243.0,20033.0,Begoña
116,2022-01-01,26968.0,13254.0,2136.0,688.0,865.0,10025.0,22327.0,Begoña
117,2006-01-01,10328.0,6477.0,821.0,58.0,466.0,2507.0,9019.0,Bilbao la Vieja
118,2009-01-01,12300.0,8627.0,495.0,86.0,422.0,2670.0,10849.0,Bilbao la Vieja
119,2011-01-01,12982.0,9658.0,361.0,95.0,436.0,2431.0,11343.0,Bilbao la Vieja
