,Año,Renta total,Renta del trabajo,Renta capital mobiliario,Renta capital inmobiliario,Renta de actividades,Transferencias,Renta disponible,Ciudad
0,2006-01-01,18196.0,10749.0,2315.0,312.0,1024.0,3797.0,15099.0,BILBAO
1,2009-01-01,20081.0,12285.0,2000.0,372.0,948.0,4476.0,16951.0,BILBAO
2,2011-01-01,19787.0,12062.0,1717.0,417.0,954.0,4638.0,16520.0,BILBAO
3,2013-01-01,19717.0,11735.0,1613.0,393.0,903.0,5073.0,16318.0,BILBAO
4,2014-01-01,19761.0,11737.0,1484.0,431.0,986.0,5123.0,16399.0,BILBAO
5,2015-01-01,20313.0,11734.0,1403.0,451.0,1138.0,5587.0,16797.0,BILBAO
6,2016-01-01,20526.0,11855.0,1467.0,477.0,1064.0,5662.0,16976.0,BILBAO
7,2017-01-01,21245.0,12448.0,1343.0,518.0,1107.0,5829.0,17556.0,BILBAO
8,2018-01-01,21538.0,12571.0,1394.0,511.0,1163.0,5899.0,17685.0,BILBAO
9,2019-01-01,22659.0,13304.0,1441.0,566.0,1190.0,6157.0,18663.0,BILBAO
10,2020-01-01,22464.0,12656.0,1357.0,530.0,1108.0,6813.0,18647.0,BILBAO
11,2021-01-01,23592.0,13491.0,1461.0,563.0,1270.0,6807.0,19405.0,BILBAO
12,2022-01-01,25366.0,14545.0,1780.0,623.0,1236.0,7181.0,20849.0,BILBAO
13,2006-01-01,20056.0,12014.0,2407.0,497.0,1418.0,3720.0,16628.0,Donostia / San Sebastián
14,2009-01-01,23054.0,13530.0,2559.0,611.0,1296.0,5059.0,19379.0,Donostia / San Sebastián
15,2011-01-01,23008.0,13617.0,2300.0,694.0,1216.0,5181.0,19168.0,Donostia / San Sebastián
16,2013-01-01,22268.0,13068.0,1905.0,707.0,1143.0,5444.0,18313.0,Donostia / San Sebastián
17,2014-01-01,22583.0,12981.0,2084.0,727.0,1222.0,5568.0,18389.0,Donostia / San Sebastián
18,2015-01-01,23469.0,13160.0,2121.0,786.0,1310.0,6090.0,19203.0,Donostia / San Sebastián
19,2016-01-01,24095.0,13447.0,2225.0,842.0,1355.0,6226.0,19750.0,Donostia / San Sebastián
20,2017-01-01,25141.0,13978.0,2517.0,901.0,1394.0,6351.0,20486.0,Donostia / San Sebastián
21,2018-01-01,25577.0,14270.0,2414.0,952.0,1497.0,6443.0,20819.0,Donostia / San Sebastián
22,2019-01-01,27297.0,14884.0,3147.0,990.0,1505.0,6771.0,22143.0,Donostia / San Sebastián
23,2020-01-01,26395.0,13752.0,2211.0,914.0,1432.0,8087.0,21481.0,Donostia / San Sebastián
24,2021-01-01,27558.0,14821.0,2448.0,973.0,1531.0,7784.0,22264.0,Donostia / San Sebastián
25,2022-01-01,30809.0,16073.0,3723.0,1105.0,1643.0,8264.0,25001.0,Donostia / San Sebastián
26,2006-01-01,17597.0,11820.0,1465.0,274.0,828.0,3209.0,14901.0,VITORIA-GASTEIZ
27,2009-01-01,19980.0,12970.0,1678.0,352.0,779.0,4201.0,17137.0,VITORIA-GASTEIZ
28,2011-01-01,20465.0,12989.0,1325.0,368.0,710.0,5073.0,17453.0,VITORIA-GASTEIZ
29,2013-01-01,19604.0,12117.0,1335.0,352.0,670.0,5130.0,16586.0,VITORIA-GASTEIZ
30,2014-01-01,19558.0,12099.0,1161.0,367.0,692.0,5239.0,16486.0,VITORIA-GASTEIZ
31,2015-01-01,20004.0,12386.0,1138.0,386.0,723.0,5371.0,16808.0,VITORIA-GASTEIZ
32,2016-01-01,20115.0,12404.0,1028.0,415.0,754.0,5514.0,16848.0,VITORIA-GASTEIZ
33,2017-01-01,20643.0,12815.0,1021.0,430.0,788.0,5589.0,17245.0,VITORIA-GASTEIZ
34,2018-01-01,21259.0,13098.0,1211.0,452.0,808.0,5690.0,17704.0,VITORIA-GASTEIZ
35,2019-01-01,22111.0,13668.0,1179.0,470.0,818.0,5976.0,18391.0,VITORIA-GASTEIZ
36,2020-01-01,21818.0,12811.0,1021.0,456.0,762.0,6769.0,18180.0,VITORIA-GASTEIZ
37,2021-01-01,22615.0,13630.0,1093.0,475.0,854.0,6563.0,18769.0,VITORIA-GASTEIZ
38,2022-01-01,24000.0,14440.0,1249.0,516.0,857.0,6938.0,19948.0,VITORIA-GASTEIZ
