Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,14.4 €/m2,2.9%,6.5%,10.4%
01/01/25,13.9 €/m2,-0.2%,1.8%,8.6%
01/12/24,14.0 €/m2,3.7%,-0.5%,11.8%
01/11/24,13.5 €/m2,-1.7%,-1.8%,3.6%
01/10/24,13.7 €/m2,-2.4%,0.3%,5.4%
01/09/24,14.0 €/m2,2.3%,-2.6%,"9,00%"
01/08/24,13.7 €/m2,0.5%,-3.5%,"5,00%"
01/07/24,13.7 €/m2,-5.3%,-0.4%,3.6%
01/06/24,14.4 €/m2,1.4%,8.1%,8.3%
01/05/24,14.2 €/m2,3.7%,9.4%,7.1%
01/04/24,13.7 €/m2,2.9%,6.8%,4.2%
01/03/24,13.3 €/m2,2.6%,6.7%,1.6%
01/02/24,13.0 €/m2,1.3%,n.d.,1.3%
01/01/24,12.8 €/m2,2.7%,-1.2%,3.7%
01/12/23,12.5 €/m2,-3.8%,-2.9%,0.6%
01/11/23,13.0 €/m2,n.d.,-0.5%,"4,00%"
01/10/23,13.0 €/m2,0.9%,-1.4%,"5,00%"
01/09/23,12.9 €/m2,-1.4%,-3.2%,6.6%
01/08/23,13.1 €/m2,-0.9%,-1.6%,6.9%
01/07/23,13.2 €/m2,"-1,00%",0.2%,7.9%
01/06/23,13.3 €/m2,0.2%,1.4%,8.9%
01/05/23,13.3 €/m2,"1,00%",3.5%,8.5%
01/04/23,13.2 €/m2,0.3%,6.3%,7.7%
01/03/23,13.1 €/m2,2.2%,5.6%,11.3%
01/02/23,12.8 €/m2,3.7%,2.7%,"10,00%"
01/01/23,12.4 €/m2,-0.4%,n.d.,9.8%
01/12/22,12.4 €/m2,-0.6%,2.9%,5.6%
01/11/22,12.5 €/m2,"1,00%",2.3%,4.2%
01/10/22,12.4 €/m2,2.5%,1.3%,2.1%
01/09/22,12.1 €/m2,-1.1%,-1.1%,2.2%
01/08/22,12.2 €/m2,n.d.,-0.2%,"4,00%"
01/07/22,12.2 €/m2,n.d.,n.d.,"3,00%"
01/06/22,12.2 €/m2,-0.2%,3.7%,1.1%
01/05/22,12.2 €/m2,0.2%,"5,00%",-0.3%
01/04/22,12.2 €/m2,3.7%,8.3%,0.4%
01/03/22,11.8 €/m2,1.1%,0.2%,-0.2%
01/02/22,11.7 €/m2,3.4%,-2.8%,1.1%
01/01/22,11.3 €/m2,-4.1%,-6.9%,-6.3%
01/12/21,11.8 €/m2,"-2,00%",-0.5%,-3.4%
01/11/21,12.0 €/m2,"-1,00%",2.1%,-0.6%
01/10/21,12.1 €/m2,2.6%,2.2%,3.9%
