Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,16.5 €/m2,1.4%,2.1%,14.3%
01/01/25,16.3 €/m2,-3.1%,4.8%,11.7%
01/12/24,16.8 €/m2,3.9%,7.3%,15.3%
01/11/24,16.1 €/m2,4.1%,5.5%,10.9%
01/10/24,15.5 €/m2,-0.8%,4.9%,6.6%
01/09/24,15.6 €/m2,2.2%,"6,00%","7,00%"
01/08/24,15.3 €/m2,3.5%,"2,00%",7.6%
01/07/24,14.8 €/m2,0.3%,-3.3%,6.4%
01/06/24,14.7 €/m2,-1.7%,-1.7%,8.4%
01/05/24,15.0 €/m2,-1.9%,4.1%,7.7%
01/04/24,15.3 €/m2,"2,00%",5.1%,9.8%
01/03/24,15.0 €/m2,4.1%,3.1%,7.7%
01/02/24,14.4 €/m2,-0.9%,-0.9%,2.7%
01/01/24,14.5 €/m2,n.d.,n.d.,0.7%
01/12/23,14.5 €/m2,n.d.,-0.4%,0.7%
01/11/23,14.5 €/m2,n.d.,2.3%,3.1%
01/10/23,14.5 €/m2,-0.4%,4.7%,4.4%
01/09/23,14.6 €/m2,2.8%,7.4%,4.8%
01/08/23,14.2 €/m2,2.3%,2.1%,2.3%
01/07/23,13.9 €/m2,2.1%,-0.3%,2.3%
01/06/23,13.6 €/m2,-2.4%,-2.4%,0.2%
01/05/23,13.9 €/m2,n.d.,-0.7%,4.5%
01/04/23,13.9 €/m2,n.d.,-3.6%,4.5%
01/03/23,13.9 €/m2,-0.7%,-3.6%,5.3%
01/02/23,14.0 €/m2,-2.9%,-0.5%,5.2%
01/01/23,14.4 €/m2,n.d.,3.7%,8.3%
01/12/22,14.4 €/m2,2.4%,3.7%,8.3%
01/11/22,14.1 €/m2,1.2%,1.5%,5.8%
01/10/22,13.9 €/m2,"0,00%",2.6%,1.3%
01/09/22,13.9 €/m2,0.3%,2.7%,2.7%
01/08/22,13.9 €/m2,2.3%,4.2%,3.2%
01/07/22,13.6 €/m2,n.d.,1.8%,0.5%
01/06/22,13.6 €/m2,1.8%,2.6%,n.d.
01/05/22,13.3 €/m2,n.d.,n.d.,-1.8%
01/04/22,13.3 €/m2,0.8%,n.d.,-1.4%
01/03/22,13.2 €/m2,-0.8%,-0.8%,"-3,00%"
01/02/22,13.3 €/m2,n.d.,n.d.,-4.8%
01/01/22,13.3 €/m2,n.d.,"-3,00%",-4.8%
01/12/21,13.3 €/m2,n.d.,-1.8%,-1.8%
01/11/21,13.3 €/m2,"-3,00%","-1,00%","-1,00%"
01/10/21,13.8 €/m2,1.3%,1.9%,3.1%
01/09/21,13.6 €/m2,0.8%,n.d.,0.1%
01/08/21,13.5 €/m2,-0.3%,-0.8%,-0.8%
01/07/21,13.5 €/m2,-0.5%,-0.2%,1.3%
01/06/21,13.6 €/m2,n.d.,-0.5%,1.8%
01/05/21,13.6 €/m2,0.3%,-3.1%,0.3%
01/04/21,13.5 €/m2,-0.8%,-3.4%,-1.6%
01/03/21,13.6 €/m2,-2.6%,0.5%,-0.8%
01/02/21,14.0 €/m2,n.d.,"4,00%",1.1%
01/01/21,14.0 €/m2,3.2%,"5,00%",1.8%
01/12/20,13.6 €/m2,0.8%,0.1%,0.5%
01/11/20,13.5 €/m2,"1,00%",-0.8%,2.9%
01/10/20,13.3 €/m2,-1.7%,n.d.,5.3%
