Mes,Precio m2,Variación mensual,Variación trimestral,Variación anual
01/02/25,16.9 €/m2,-1.3%,-0.6%,1.3%
01/01/25,17.1 €/m2,"-1,00%",1.8%,1.5%
01/12/24,17.2 €/m2,1.7%,4.2%,5.1%
01/11/24,16.9 €/m2,1.1%,4.3%,8.9%
01/10/24,16.8 €/m2,1.3%,"4,00%",9.1%
01/09/24,16.6 €/m2,1.9%,1.9%,7.4%
01/08/24,16.3 €/m2,0.7%,0.9%,6.1%
01/07/24,16.1 €/m2,-0.7%,0.7%,7.5%
01/06/24,16.3 €/m2,0.9%,-1.7%,9.1%
01/05/24,16.1 €/m2,0.5%,-3.2%,9.5%
01/04/24,16.0 €/m2,-3.1%,-4.8%,6.3%
01/03/24,16.5 €/m2,-0.6%,0.8%,6.6%
01/02/24,16.6 €/m2,-1.1%,6.9%,4.7%
01/01/24,16.8 €/m2,2.6%,9.5%,"7,00%"
01/12/23,16.4 €/m2,5.4%,6.4%,7.1%
01/11/23,15.6 €/m2,1.3%,1.6%,3.8%
01/10/23,15.4 €/m2,-0.3%,2.4%,4.9%
01/09/23,15.4 €/m2,0.7%,3.5%,4.6%
01/08/23,15.3 €/m2,2.1%,4.1%,2.7%
01/07/23,15.0 €/m2,0.7%,-0.5%,1.3%
01/06/23,14.9 €/m2,1.3%,"-4,00%",-0.7%
01/05/23,14.7 €/m2,-2.5%,-7.5%,"-2,00%"
01/04/23,15.1 €/m2,-2.8%,-4.1%,-1.8%
01/03/23,15.5 €/m2,-2.4%,1.4%,1.4%
01/02/23,15.9 €/m2,1.1%,"6,00%","6,00%"
01/01/23,15.7 €/m2,2.7%,7.4%,5.9%
01/12/22,15.3 €/m2,"2,00%",3.9%,6.8%
01/11/22,15.0 €/m2,2.4%,0.6%,2.5%
01/10/22,14.6 €/m2,-0.6%,-1.2%,-1.4%
01/09/22,14.7 €/m2,-1.1%,-1.8%,-1.8%
01/08/22,14.9 €/m2,0.6%,-0.6%,-0.6%
01/07/22,14.8 €/m2,-1.2%,-3.5%,0.7%
01/06/22,15.0 €/m2,n.d.,"-2,00%",2.4%
01/05/22,15.0 €/m2,-2.3%,n.d.,3.1%
01/04/22,15.4 €/m2,0.4%,3.5%,5.8%
01/03/22,15.3 €/m2,"2,00%",6.7%,4.9%
01/02/22,15.0 €/m2,1.1%,2.5%,2.6%
01/01/22,14.8 €/m2,3.5%,n.d.,1.6%
01/12/21,14.3 €/m2,"-2,00%",-4.4%,-2.2%
01/11/21,14.6 €/m2,-1.4%,-2.4%,-1.5%
01/10/21,14.8 €/m2,"-1,00%",0.9%,"-1,00%"
01/09/21,15.0 €/m2,n.d.,2.4%,2.4%
01/08/21,15.0 €/m2,"2,00%",3.1%,"2,00%"
01/07/21,14.7 €/m2,0.3%,1.3%,-0.6%
01/06/21,14.7 €/m2,0.8%,0.5%,-0.1%
01/05/21,14.5 €/m2,0.2%,-0.5%,-0.8%
01/04/21,14.5 €/m2,-0.5%,-0.7%,-0.8%
01/03/21,14.6 €/m2,-0.2%,-0.5%,-0.6%
01/02/21,14.6 €/m2,n.d.,-1.6%,-2.6%
01/01/21,14.6 €/m2,-0.3%,-2.6%,2.3%
01/12/20,14.7 €/m2,-1.3%,n.d.,"5,00%"
01/11/20,14.9 €/m2,"-1,00%","1,00%",7.7%
01/10/20,15.0 €/m2,2.4%,1.4%,10.9%
01/09/20,14.7 €/m2,-0.3%,-0.1%,8.3%
01/08/20,14.7 €/m2,-0.6%,0.3%,8.4%
01/07/20,14.8 €/m2,0.8%,1.1%,9.9%
01/06/20,14.7 €/m2,n.d.,n.d.,7.6%
01/05/20,14.7 €/m2,0.2%,-2.2%,7.6%
01/04/20,14.6 €/m2,-0.2%,2.4%,7.6%
01/03/20,14.7 €/m2,-2.2%,5.1%,5.3%
01/02/20,15.0 €/m2,"5,00%",8.8%,8.8%
01/01/20,14.3 €/m2,2.4%,5.6%,0.8%
01/12/19,14.0 €/m2,1.2%,3.1%,-1.2%
01/11/19,13.8 €/m2,1.9%,1.6%,-3.4%
01/10/19,13.5 €/m2,n.d.,0.5%,-4.5%
01/09/19,13.5 €/m2,-0.3%,-0.8%,-1.7%
01/08/19,13.6 €/m2,0.8%,-0.5%,"-2,00%"
01/07/19,13.5 €/m2,-1.3%,-1.1%,"1,00%"
01/06/19,13.6 €/m2,n.d.,-2.1%,2.3%
01/05/19,13.6 €/m2,0.2%,-1.1%,3.8%
01/04/19,13.6 €/m2,-2.3%,"-4,00%",0.4%
