"Renta personal media de la C.A. de Euskadi (euros) por barrios, tipo de renta y periodo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,2006,2009,2011,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
BILBAO,Renta total,18196,20081,19787,19717,19761,20313,20526,21245,21538,22659,22464,23592,25366
,Renta del trabajo,10749,12285,12062,11735,11737,11734,11855,12448,12571,13304,12656,13491,14545
,Renta capital mobiliario,2315,2000,1717,1613,1484,1403,1467,1343,1394,1441,1357,1461,1780
,Renta capital inmobiliario,312,372,417,393,431,451,477,518,511,566,530,563,623
,Renta de actividades,1024,948,954,903,986,1138,1064,1107,1163,1190,1108,1270,1236
,Transferencias,3797,4476,4638,5073,5123,5587,5662,5829,5899,6157,6813,6807,7181
,Renta disponible,15099,16951,16520,16318,16399,16797,16976,17556,17685,18663,18647,19405,20849
Abando,Renta total,31537,35939,32572,33106,33254,34844,35022,35944,37017,40605,41423,42546,47044
,Renta del trabajo,16037,21667,18363,18332,18228,19413,18937,19616,19726,22191,21626,22877,24774
,Renta capital mobiliario,7496,5767,5274,5084,4940,4671,5041,4775,5248,6037,7010,6324,7893
,Renta capital inmobiliario,790,977,1127,1111,1188,1247,1313,1463,1453,1551,1472,1520,1711
,Renta de actividades,2728,2442,2562,2719,2994,3200,3289,3349,3767,3668,3315,4052,3942
,Transferencias,4487,5085,5246,5860,5904,6314,6441,6741,6823,7158,8000,7774,8725
,Renta disponible,24914,28527,25565,25498,25641,26717,26837,27606,28168,30812,31906,32024,35361
Altamira,Renta total,11660,13172,12629,12632,12509,13260,13338,13853,14103,14723,14206,15024,15863
,Renta del trabajo,6832,7570,7272,7205,6989,6950,7135,7755,7886,8461,7711,8525,9303
,Renta capital mobiliario,534,483,270,299,254,277,208,118,214,226,143,106,142
,Renta capital inmobiliario,57,69,95,78,100,140,168,191,188,214,219,228,221
,Renta de actividades,408,457,538,442,606,763,699,700,733,746,666,704,716
,Transferencias,3830,4594,4455,4607,4560,5130,5127,5090,5082,5076,5466,5460,5481
,Renta disponible,10347,11871,11271,11231,11203,11818,11864,12309,12449,12994,12624,13281,13986
Ametzola,Renta total,19621,21861,21352,21189,20879,20979,21351,21511,21449,22975,22904,24409,25873
,Renta del trabajo,11366,12951,12805,12508,12285,12133,12246,12528,12470,13587,13020,14080,15128
,Renta capital mobiliario,2442,2315,1797,1718,1535,1325,1438,1249,1159,1183,1101,1299,1440
,Renta capital inmobiliario,411,485,545,488,525,536,524,571,557,620,603,638,702
,Renta de actividades,917,951,925,879,880,960,1007,912,1037,1129,1038,1293,1232
